sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.002961,1036,1.264957,-1.235043,1011,1.234432,-1.265568,10 30 0F CE
2,0.003000,1036,1.264957,-1.235043,1019,1.244200,-1.255800,10 30 0F EE
3,0.003011,1036,1.264957,-1.235043,1019,1.244200,-1.255800,10 30 0F EE
4,0.003017,1032,1.260073,-1.239927,1021,1.246642,-1.253358,10 20 0F F6
5,0.003023,1028,1.255189,-1.244811,1037,1.266178,-1.233822,10 10 10 36
6,0.003029,1028,1.255189,-1.244811,1036,1.264957,-1.235043,10 10 10 32
7,0.003035,1028,1.255189,-1.244811,1036,1.264957,-1.235043,10 10 10 30
8,0.003040,1028,1.255189,-1.244811,1032,1.260073,-1.239927,10 10 10 20
9,0.003046,1028,1.255189,-1.244811,1028,1.255189,-1.244811,10 10 10 10
10,0.003051,1028,1.255189,-1.244811,1024,1.250305,-1.249695,10 10 10 00
11,0.003057,1024,1.250305,-1.249695,1024,1.250305,-1.249695,10 00 10 00
12,0.003062,1024,1.250305,-1.249695,1015,1.239316,-1.260684,10 00 0F DC
13,0.003068,1024,1.250305,-1.249695,1015,1.239316,-1.260684,10 00 0F DC
14,0.003073,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CC
15,0.003079,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CC
16,0.003084,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CE
17,0.003090,1024,1.250305,-1.249695,1019,1.244200,-1.255800,10 00 0F EE
18,0.003095,1024,1.250305,-1.249695,1019,1.244200,-1.255800,10 00 0F EE
19,0.003100,1024,1.250305,-1.249695,1021,1.246642,-1.253358,10 00 0F F6
20,0.003106,1024,1.250305,-1.249695,1033,1.261294,-1.238706,10 00 10 26
21,0.003111,1024,1.250305,-1.249695,1036,1.264957,-1.235043,10 00 10 32
22,0.003117,1024,1.250305,-1.249695,1036,1.264957,-1.235043,10 00 10 30
23,0.003122,1024,1.250305,-1.249695,1032,1.260073,-1.239927,10 00 10 20
24,0.003127,989,1.207570,-1.292430,1017,1.241758,-1.258242,0F 76 0F E6
25,0.003133,1037,1.266178,-1.233822,1021,1.246642,-1.253358,10 36 0F F6
26,0.003139,1037,1.266178,-1.233822,1037,1.266178,-1.233822,10 36 10 36
27,0.003145,1037,1.266178,-1.233822,1036,1.264957,-1.235043,10 36 10 32
28,0.003150,1037,1.266178,-1.233822,1036,1.264957,-1.235043,10 36 10 30
29,0.003155,1037,1.266178,-1.233822,1032,1.260073,-1.239927,10 36 10 20
30,0.003160,1036,1.264957,-1.235043,1028,1.255189,-1.244811,10 32 10 10
31,0.003172,1036,1.264957,-1.235043,1024,1.250305,-1.249695,10 32 10 00
32,0.003178,1036,1.264957,-1.235043,1024,1.250305,-1.249695,10 32 10 00
33,0.003184,1036,1.264957,-1.235043,1015,1.239316,-1.260684,10 32 0F DC
34,0.003190,1036,1.264957,-1.235043,1015,1.239316,-1.260684,10 32 0F DC
35,0.003195,1036,1.264957,-1.235043,1011,1.234432,-1.265568,10 30 0F CC
36,0.003200,1036,1.264957,-1.235043,1011,1.234432,-1.265568,10 30 0F CE
37,0.003206,1036,1.264957,-1.235043,1011,1.234432,-1.265568,10 30 0F CE
38,0.003211,1032,1.260073,-1.239927,1019,1.244200,-1.255800,10 20 0F EE
39,0.003217,1032,1.260073,-1.239927,1019,1.244200,-1.255800,10 20 0F EE
40,0.003222,1028,1.255189,-1.244811,1021,1.246642,-1.253358,10 10 0F F6
41,0.003227,1028,1.255189,-1.244811,1037,1.266178,-1.233822,10 10 10 36
42,0.003233,1028,1.255189,-1.244811,1036,1.264957,-1.235043,10 10 10 32
43,0.003238,1028,1.255189,-1.244811,1036,1.264957,-1.235043,10 10 10 30
44,0.003243,1024,1.250305,-1.249695,1028,1.255189,-1.244811,10 00 10 10
45,0.003249,1024,1.250305,-1.249695,1028,1.255189,-1.244811,10 00 10 10
46,0.003254,1024,1.250305,-1.249695,1024,1.250305,-1.249695,10 00 10 00
47,0.003260,1024,1.250305,-1.249695,1015,1.239316,-1.260684,10 00 0F DC
48,0.003265,1036,1.264957,-1.235043,1024,1.250305,-1.249695,10 30 10 00
49,0.003270,1036,1.264957,-1.235043,1015,1.239316,-1.260684,10 30 0F DC
50,0.003276,1032,1.260073,-1.239927,1011,1.234432,-1.265568,10 20 0F CC
51,0.003281,1028,1.255189,-1.244811,1011,1.234432,-1.265568,10 10 0F CC
52,0.003287,1028,1.255189,-1.244811,1011,1.234432,-1.265568,10 10 0F CE
53,0.003292,1028,1.255189,-1.244811,1019,1.244200,-1.255800,10 10 0F EE
54,0.003297,1028,1.255189,-1.244811,1019,1.244200,-1.255800,10 10 0F EE
55,0.003303,1024,1.250305,-1.249695,1019,1.244200,-1.255800,10 00 0F EE
56,0.003308,1024,1.250305,-1.249695,1033,1.261294,-1.238706,10 00 10 26
57,0.003313,1024,1.250305,-1.249695,1037,1.266178,-1.233822,10 00 10 36
58,0.003319,1024,1.250305,-1.249695,1036,1.264957,-1.235043,10 00 10 32
59,0.003324,1024,1.250305,-1.249695,1036,1.264957,-1.235043,10 00 10 30
60,0.003330,1024,1.250305,-1.249695,1028,1.255189,-1.244811,10 00 10 10
61,0.003335,1024,1.250305,-1.249695,1028,1.255189,-1.244811,10 00 10 10
62,0.003346,1024,1.250305,-1.249695,1024,1.250305,-1.249695,10 00 10 00
63,0.003352,1024,1.250305,-1.249695,1024,1.250305,-1.249695,10 00 10 00
64,0.003358,1024,1.250305,-1.249695,1015,1.239316,-1.260684,10 00 0F DC
65,0.003363,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CC
66,0.003369,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CC
67,0.003374,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CE
68,0.003379,1024,1.250305,-1.249695,1011,1.234432,-1.265568,10 00 0F CE
69,0.003385,1024,1.250305,-1.249695,1019,1.244200,-1.255800,10 00 0F EE
70,0.003390,1024,1.250305,-1.249695,1017,1.241758,-1.258242,10 00 0F E6
71,0.003395,1037,1.266178,-1.233822,1015,1.239316,-1.260684,10 36 0F DC
72,0.003400,1037,1.266178,-1.233822,1015,1.239316,-1.260684,10 36 0F DC
73,0.003406,1036,1.264957,-1.235043,1011,1.234432,-1.265568,10 32 0F CC
74,0.003411,1036,1.264957,-1.235043,1011,1.234432,-1.265568,10 32 0F CC
