sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.001876,2832,3.457875,0.957875,2064,2.520147,0.020147,16 20 10 20
2,0.001903,2833,3.459096,0.959096,2056,2.510379,0.010379,16 22 10 10
3,0.001909,2817,3.439560,0.939560,2056,2.510379,0.010379,16 02 10 10
4,0.001914,2611,3.188034,0.688034,2056,2.510379,0.010379,14 66 10 10
5,0.001918,2595,3.168498,0.668498,2056,2.510379,0.010379,14 46 10 10
6,0.001922,2599,3.173382,0.673382,2056,2.510379,0.010379,14 4E 10 10
7,0.001926,2662,3.250305,0.750305,2048,2.500611,0.000611,14 CC 10 00
8,0.001930,2662,3.250305,0.750305,2056,2.510379,0.010379,14 CC 10 10
9,0.001934,3072,3.750916,1.250916,2048,2.500611,0.000611,18 00 10 00
10,0.001938,3076,3.755800,1.255800,2048,2.500611,0.000611,18 08 10 00
11,0.001942,2668,3.257631,0.757631,2048,2.500611,0.000611,14 D8 10 00
12,0.001945,2558,3.123321,0.623321,2048,2.500611,0.000611,13 FC 10 00
13,0.001949,2556,3.120879,0.620879,2048,2.500611,0.000611,13 F8 10 00
14,0.001952,2525,3.083028,0.583028,2048,2.500611,0.000611,13 BA 10 00
15,0.001956,2525,3.083028,0.583028,2048,2.500611,0.000611,13 BA 10 00
16,0.001960,2521,3.078144,0.578144,2048,2.500611,0.000611,13 B2 10 00
17,0.001963,2491,3.041514,0.541514,2048,2.500611,0.000611,13 76 10 00
18,0.001967,2833,3.459096,0.959096,2048,2.500611,0.000611,16 22 10 00
19,0.001971,2817,3.439560,0.939560,2048,2.500611,0.000611,16 02 10 00
20,0.001974,2611,3.188034,0.688034,2048,2.500611,0.000611,14 66 10 00
21,0.001978,2595,3.168498,0.668498,2048,2.500611,0.000611,14 46 10 00
22,0.001981,2595,3.168498,0.668498,2048,2.500611,0.000611,14 46 10 00
23,0.001985,2599,3.173382,0.673382,2048,2.500611,0.000611,14 4E 10 00
24,0.001988,2525,3.083028,0.583028,1979,2.416361,-0.083639,13 BA 0F 76
25,0.001992,2521,3.078144,0.578144,2067,2.523810,0.023810,13 B2 10 26
26,0.001996,2491,3.041514,0.541514,2075,2.533578,0.033578,13 76 10 36
27,0.002000,2833,3.459096,0.959096,2075,2.533578,0.033578,16 22 10 36
28,0.002038,2833,3.459096,0.959096,2075,2.533578,0.033578,16 22 10 36
29,0.002046,2611,3.188034,0.688034,2075,2.533578,0.033578,14 66 10 36
30,0.002051,2611,3.188034,0.688034,2075,2.533578,0.033578,14 66 10 36
31,0.002058,2595,3.168498,0.668498,2075,2.533578,0.033578,14 46 10 36
32,0.002062,2599,3.173382,0.673382,2075,2.533578,0.033578,14 4E 10 36
33,0.002066,2662,3.250305,0.750305,2075,2.533578,0.033578,14 CC 10 36
34,0.002070,2662,3.250305,0.750305,2075,2.533578,0.033578,14 CC 10 36
35,0.002074,3072,3.750916,1.250916,2075,2.533578,0.033578,18 00 10 36
36,0.002078,2662,3.250305,0.750305,2075,2.533578,0.033578,14 CC 10 36
37,0.002081,2542,3.103785,0.603785,2075,2.533578,0.033578,13 DC 10 36
38,0.002084,2556,3.120879,0.620879,2075,2.533578,0.033578,13 F8 10 36
39,0.002088,2525,3.083028,0.583028,2075,2.533578,0.033578,13 BA 10 36
40,0.002092,2525,3.083028,0.583028,2075,2.533578,0.033578,13 BA 10 36
41,0.002096,2525,3.083028,0.583028,2075,2.533578,0.033578,13 BA 10 36
42,0.002099,2521,3.078144,0.578144,2075,2.533578,0.033578,13 B2 10 36
43,0.002103,2832,3.457875,0.957875,2075,2.533578,0.033578,16 20 10 36
44,0.002106,2833,3.459096,0.959096,2075,2.533578,0.033578,16 22 10 36
45,0.002109,2817,3.439560,0.939560,2075,2.533578,0.033578,16 02 10 36
46,0.002113,2611,3.188034,0.688034,2075,2.533578,0.033578,14 66 10 36
47,0.002117,2595,3.168498,0.668498,2075,2.533578,0.033578,14 46 10 36
48,0.002120,2599,3.173382,0.673382,2043,2.494505,-0.005495,14 4E 0F F6
49,0.002124,2599,3.173382,0.673382,2067,2.523810,0.023810,14 4E 10 26
