sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.002733,0,0.000000,-2.500000,2576,3.145299,0.645299,00 00 68 40
2,0.002759,0,0.000000,-2.500000,1084,1.323565,-1.176435,00 00 50 F0
3,0.002764,0,0.000000,-2.500000,3848,4.698413,2.198413,00 00 BC 20
4,0.002768,0,0.000000,-2.500000,2044,2.495726,-0.004274,00 00 9F F0
5,0.002772,0,0.000000,-2.500000,572,0.698413,-1.801587,00 00 48 F0
6,0.002775,0,0.000000,-2.500000,320,0.390720,-2.109280,00 00 85 00
7,0.002778,0,0.000000,-2.500000,2052,2.505495,0.005495,00 00 E0 10
8,0.002781,0,0.000000,-2.500000,4064,4.962149,2.462149,00 00 3F 80
9,0.002784,0,0.000000,-2.500000,1088,1.328449,-1.171551,00 00 51 00
10,0.002787,0,0.000000,-2.500000,3076,3.755800,1.255800,00 00 F0 10
11,0.002790,0,0.000000,-2.500000,3976,4.854701,2.354701,00 00 7E 20
12,0.002793,0,0.000000,-2.500000,1036,1.264957,-1.235043,00 00 50 30
13,0.002810,0,0.000000,-2.500000,1928,2.354090,-0.145910,00 00 9E 20
14,0.002813,0,0.000000,-2.500000,3124,3.814408,1.314408,00 00 B0 D0
15,0.002816,0,0.000000,-2.500000,1056,1.289377,-1.210623,00 00 50 80
16,0.002819,0,0.000000,-2.500000,2300,2.808303,0.308303,00 00 63 F0
17,0.002822,0,0.000000,-2.500000,1548,1.890110,-0.609890,00 00 D8 30
18,0.002825,0,0.000000,-2.500000,2024,2.471306,-0.028694,00 00 5F A0
19,0.002828,0,0.000000,-2.500000,1076,1.313797,-1.186203,00 00 50 D0
20,0.002831,0,0.000000,-2.500000,3612,4.410256,1.910256,00 00 B8 70
21,0.002834,0,0.000000,-2.500000,1276,1.557998,-0.942002,00 00 93 F0
22,0.002837,0,0.000000,-2.500000,3872,4.727717,2.227717,00 00 3C 80
23,0.002839,0,0.000000,-2.500000,52,0.063492,-2.436508,00 00 80 D0
24,0.002842,0,0.000000,-2.500000,2068,2.525031,0.025031,00 00 E0 50
25,0.002845,0,0.000000,-2.500000,500,0.610501,-1.889499,00 00 47 D0
26,0.002848,0,0.000000,-2.500000,4072,4.971917,2.471917,00 00 3F A0
27,0.002851,0,0.000000,-2.500000,236,0.288156,-2.211844,00 00 C3 B0
28,0.002854,0,0.000000,-2.500000,60,0.073260,-2.426740,00 00 80 F0
29,0.002857,0,0.000000,-2.500000,2040,2.490842,-0.009158,00 00 1F E0
30,0.002859,0,0.000000,-2.500000,1780,2.173382,-0.326618,00 00 9B D0
31,0.002862,0,0.000000,-2.500000,3036,3.706960,1.206960,00 00 AF 70
32,0.002865,0,0.000000,-2.500000,244,0.297924,-2.202076,00 00 43 D0
33,0.002868,0,0.000000,-2.500000,1992,2.432234,-0.067766,00 00 5F 20
34,0.002871,0,0.000000,-2.500000,4072,4.971917,2.471917,00 00 BF A0
35,0.002873,0,0.000000,-2.500000,2548,3.111111,0.611111,00 00 67 D0
36,0.002876,0,0.000000,-2.500000,2040,2.490842,-0.009158,00 00 1F E0
37,0.002879,0,0.000000,-2.500000,3052,3.726496,1.226496,00 00 AF B0
38,0.002882,0,0.000000,-2.500000,1808,2.207570,-0.292430,00 00 9C 40
39,0.002884,0,0.000000,-2.500000,2032,2.481074,-0.018926,00 00 1F C0
40,0.002887,0,0.000000,-2.500000,3984,4.864469,2.364469,00 00 7E 40
41,0.002890,0,0.000000,-2.500000,4064,4.962149,2.462149,00 00 BF 80
42,0.002892,0,0.000000,-2.500000,500,0.610501,-1.889499,00 00 47 D0
43,0.002895,0,0.000000,-2.500000,4048,4.942613,2.442613,00 00 3F 40
44,0.002898,0,0.000000,-2.500000,4032,4.923077,2.423077,00 00 BF 00
45,0.002901,0,0.000000,-2.500000,256,0.312576,-2.187424,00 00 84 00
46,0.002903,0,0.000000,-2.500000,2024,2.471306,-0.028694,00 00 1F A0
47,0.002906,0,0.000000,-2.500000,1500,1.831502,-0.668498,00 00 97 70
48,0.002909,0,0.000000,-2.500000,2824,3.448107,0.948107,00 00 6C 20
49,0.002911,0,0.000000,-2.500000,1076,1.313797,-1.186203,00 00 50 D0
50,0.002914,0,0.000000,-2.500000,2052,2.505495,0.005495,00 00 E0 10
51,0.002917,0,0.000000,-2.500000,1260,1.538462,-0.961538,00 00 93 B0
52,0.002919,0,0.000000,-2.500000,64,0.078144,-2.421856,00 00 41 00
53,0.002924,0,0.000000,-2.500000,320,0.390720,-2.109280,00 00 85 00
54,0.002928,0,0.000000,-2.500000,108,0.131868,-2.368132,00 00 C1 B0
55,0.002931,0,0.000000,-2.500000,1148,1.401709,-1.098291,00 00 51 F0
56,0.002934,0,0.000000,-2.500000,500,0.610501,-1.889499,00 00 47 D0
57,0.002937,0,0.000000,-2.500000,2068,2.525031,0.025031,00 00 E0 50
58,0.002939,0,0.000000,-2.500000,3984,4.864469,2.364469,00 00 7E 40
59,0.002942,0,0.000000,-2.500000,116,0.141636,-2.358364,00 00 41 D0
60,0.002945,0,0.000000,-2.500000,2100,2.564103,0.064103,00 00 A0 D0
61,0.002948,0,0.000000,-2.500000,2548,3.111111,0.611111,00 00 A7 D0
62,0.002952,0,0.000000,-2.500000,1052,1.284493,-1.215507,00 00 50 70
63,0.002955,0,0.000000,-2.500000,2284,2.788767,0.288767,00 00 63 B0
64,0.002958,0,0.000000,-2.500000,236,0.288156,-2.211844,00 00 C3 B0
65,0.002961,0,0.000000,-2.500000,2684,3.277167,0.777167,00 00 69 F0
66,0.002964,0,0.000000,-2.500000,236,0.288156,-2.211844,00 00 43 B0
67,0.002967,0,0.000000,-2.500000,20,0.024420,-2.475580,00 00 C0 50
68,0.002970,0,0.000000,-2.500000,1980,2.417582,-0.082418,00 00 9E F0
69,0.002973,0,0.000000,-2.500000,476,0.581197,-1.918803,00 00 47 70
70,0.002976,0,0.000000,-2.500000,3968,4.844933,2.344933,00 00 7E 00
71,0.002979,0,0.000000,-2.500000,3856,4.708181,2.208181,00 00 BC 40
72,0.002982,0,0.000000,-2.500000,992,1.211233,-1.288767,00 00 4F 80
73,0.002985,0,0.000000,-2.500000,1552,1.894994,-0.605006,00 00 58 40
74,0.002988,0,0.000000,-2.500000,3872,4.727717,2.227717,00 00 BC 80
