sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.003223,477,0.582418,-1.917582,1570,1.916972,-0.583028,07 76 18 88
2,0.003250,1023,1.249084,-1.250916,2520,3.076923,0.576923,0F FC 27 60
3,0.003257,1501,1.832723,-0.667277,2464,3.008547,0.508547,17 76 26 80
4,0.003261,1023,1.249084,-1.250916,1456,1.777778,-0.722222,0F FC 16 C0
5,0.003265,537,0.655678,-1.844322,2036,2.485958,-0.014042,08 66 1F D0
6,0.003269,1480,1.807082,-0.692918,1604,1.958486,-0.541514,17 20 19 10
7,0.003272,1535,1.874237,-0.625763,1638,2.000000,-0.500000,17 FC 19 98
8,0.003275,492,0.600733,-1.899267,870,1.062271,-1.437729,07 B2 0D 98
9,0.003279,947,1.156288,-1.343712,1335,1.630037,-0.869963,0E CC 14 DC
10,0.003283,1501,1.832723,-0.667277,2148,2.622711,0.122711,17 76 21 90
11,0.003286,750,0.915751,-1.584249,771,0.941392,-1.558608,0B B8 0C 0C
12,0.003289,493,0.601954,-1.898046,2184,2.666667,0.166667,07 B6 22 20
13,0.003292,1516,1.851038,-0.648962,1425,1.739927,-0.760073,17 B0 16 44
14,0.003295,1113,1.358974,-1.141026,1460,1.782662,-0.717338,11 66 16 D0
15,0.003299,492,0.600733,-1.899267,922,1.125763,-1.374237,07 B2 0E 68
16,0.003301,1143,1.395604,-1.104396,1404,1.714286,-0.785714,11 DC 15 F0
17,0.003305,1484,1.811966,-0.688034,935,1.141636,-1.358364,17 30 0E 9C
18,0.003308,622,0.759463,-1.740537,639,0.780220,-1.719780,09 B8 09 FC
19,0.003311,509,0.621490,-1.878510,2407,2.938950,0.438950,07 F6 25 9C
20,0.003314,1636,1.997558,-0.502442,1254,1.531136,-0.968864,19 90 13 98
21,0.003318,768,0.937729,-1.562271,3084,3.765568,1.265568,0C 00 30 30
22,0.003321,612,0.747253,-1.752747,999,1.219780,-1.280220,09 90 0F 9C
23,0.003324,1382,1.687424,-0.812576,1443,1.761905,-0.738095,15 98 16 8C
24,0.003327,1331,1.625153,-0.874847,870,1.062271,-1.437729,14 CC 0D 98
25,0.003330,511,0.623932,-1.876068,1776,2.168498,-0.331502,07 FC 1B C0
26,0.003333,923,1.126984,-1.373016,2622,3.201465,0.701465,0E 6E 28 F8
27,0.003336,1497,1.827839,-0.672161,2150,2.625153,0.125153,17 66 21 98
28,0.003340,511,0.623932,-1.876068,1604,1.958486,-0.541514,07 FE 19 10
29,0.003343,665,0.811966,-1.688034,2138,2.610501,0.110501,0A 66 21 68
30,0.003346,1535,1.874237,-0.625763,2850,3.479853,0.979853,17 FC 2C 88
31,0.003351,1152,1.406593,-1.093407,750,0.915751,-1.584249,12 02 0B B8
32,0.003355,461,0.562882,-1.937118,1830,2.234432,-0.265568,07 36 1C 98
33,0.003358,1116,1.362637,-1.137363,1496,1.826618,-0.673382,11 72 17 60
34,0.003361,1535,1.874237,-0.625763,2040,2.490842,-0.009158,17 FC 1F E0
35,0.003364,756,0.923077,-1.576923,1516,1.851038,-0.648962,0B D0 17 B0
36,0.003367,509,0.621490,-1.878510,2406,2.937729,0.437729,07 F6 25 98
37,0.003370,1485,1.813187,-0.686813,2520,3.076923,0.576923,17 36 27 60
38,0.003373,1023,1.249084,-1.250916,1262,1.540904,-0.959096,0F FC 13 B8
39,0.003376,511,0.623932,-1.876068,3888,4.747253,2.247253,07 FC 3C C0
40,0.003379,1279,1.561661,-0.938339,1443,1.761905,-0.738095,13 FC 16 8C
41,0.003382,1416,1.728938,-0.771062,922,1.125763,-1.374237,16 20 0E 68
42,0.003385,494,0.603175,-1.896825,807,0.985348,-1.514652,07 BA 0C 9C
43,0.003388,959,1.170940,-1.329060,2850,3.479853,0.979853,0E FC 2C 88
44,0.003391,2047,2.499389,-0.000611,2174,2.654457,0.154457,1F FC 21 F8
45,0.003394,819,1.000000,-1.500000,740,0.903541,-1.596459,0C CC 0B 90
46,0.003397,620,0.757021,-1.742979,1058,1.291819,-1.208181,09 B0 10 88
47,0.003400,1508,1.841270,-0.658730,1357,1.656899,-0.843101,17 90 15 34
48,0.003403,793,0.968254,-1.531746,2595,3.168498,0.668498,0C 66 28 8C
49,0.003406,1501,1.832723,-0.667277,2404,2.935287,0.435287,17 76 25 90
50,0.003409,908,1.108669,-1.391331,800,0.976801,-1.523199,0E 32 0C 80
51,0.003412,477,0.582418,-1.917582,1996,2.437118,-0.062882,07 76 1F 30
52,0.003415,1535,1.874237,-0.625763,1604,1.958486,-0.541514,17 FC 59 10
53,0.003420,1241,1.515263,-0.984737,1528,1.865690,-0.634310,13 66 17 E0
54,0.003423,492,0.600733,-1.899267,915,1.117216,-1.382784,07 B2 0E 4C
55,0.003427,955,1.166056,-1.333944,2976,3.633700,1.133700,0E EE 2E 80
56,0.003430,1535,1.874237,-0.625763,2060,2.515263,0.015263,17 FC 20 30
57,0.003433,750,0.915751,-1.584249,742,0.905983,-1.594017,0B B8 0B 98
58,0.003436,493,0.601954,-1.898046,2214,2.703297,0.203297,07 B6 22 98
59,0.003439,1484,1.811966,-0.688034,1279,1.561661,-0.938339,17 32 13 FC
60,0.003442,1083,1.322344,-1.177656,1262,1.540904,-0.959096,10 EE 13 B8
61,0.003445,495,0.604396,-1.895604,2032,2.481074,-0.018926,07 BC 1F C0
62,0.003450,1190,1.452991,-1.047009,1443,1.761905,-0.738095,12 98 16 8C
63,0.003453,1484,1.811966,-0.688034,926,1.130647,-1.369353,17 32 0E 78
64,0.003456,767,0.936508,-1.563492,1612,1.968254,-0.531746,0B FC 19 30
65,0.003459,511,0.623932,-1.876068,2466,3.010989,0.510989,07 FC 26 88
66,0.003462,1638,2.000000,-0.500000,1280,1.562882,-0.937118,19 98 14 00
67,0.003466,887,1.083028,-1.416972,1456,1.777778,-0.722222,0D DE 16 C0
68,0.003469,612,0.747253,-1.752747,1022,1.247863,-1.252137,09 90 0F F8
69,0.003472,1383,1.688645,-0.811355,2976,3.633700,1.133700,15 9C 2E 80
70,0.003475,1263,1.542125,-0.957875,1278,1.560440,-0.939560,13 BC 13 F8
71,0.003478,477,0.582418,-1.917582,1638,2.000000,-0.500000,07 76 19 98
72,0.003481,947,1.156288,-1.343712,2960,3.614164,1.114164,0E CE 2E 40
73,0.003484,1793,2.189255,-0.310745,1038,1.267399,-1.232601,1C 04 10 38
74,0.003487,509,0.621490,-1.878510,1022,1.247863,-1.252137,07 F6 0F F8
75,0.003490,657,0.802198,-1.697802,2248,2.744811,0.244811,0A 46 23 20
76,0.003493,1484,1.811966,-0.688034,1279,1.561661,-0.938339,17 32 13 FC
77,0.003496,1105,1.349206,-1.150794,1262,1.540904,-0.959096,11 46 13 B8
78,0.003499,473,0.577534,-1.922466,1840,2.246642,-0.253358,07 66 1C C0
79,0.003502,1160,1.416361,-1.083639,1604,1.958486,-0.541514,12 20 19 10
80,0.003505,1535,1.874237,-0.625763,1894,2.312576,-0.187424,17 FC 1D 98
81,0.003508,767,0.936508,-1.563492,1604,1.958486,-0.541514,0B FC 19 10
82,0.003511,777,0.948718,-1.551282,2466,3.010989,0.510989,0C 26 26 88
83,0.003514,1501,1.832723,-0.667277,2406,2.937729,0.437729,17 76 25 98
84,0.003517,1023,1.249084,-1.250916,1570,1.916972,-0.583028,0F FC 18 88
85,0.003520,461,0.562882,-1.937118,2022,2.468864,-0.031136,07 36 1F 98
86,0.003523,1382,1.687424,-0.812576,1496,1.826618,-0.673382,15 98 17 60
87,0.003526,1408,1.719170,-0.780830,750,0.915751,-1.584249,16 02 0B B8
88,0.003529,460,0.561661,-1.938339,948,1.157509,-1.342491,07 32 0E D0
89,0.003532,921,1.124542,-1.375458,2776,3.389499,0.889499,0E 66 2B 60
90,0.003535,1519,1.854701,-0.645299,2184,2.666667,0.166667,17 BC 22 20
91,0.003538,639,0.780220,-1.719780,631,0.770452,-1.729548,09 FC 09 DC
92,0.003541,461,0.562882,-1.937118,2122,2.590965,0.090965,07 36 21 28
93,0.003544,1516,1.851038,-0.648962,1604,1.958486,-0.541514,17 B0 19 10
94,0.003549,787,0.960928,-1.539072,800,0.976801,-1.523199,0C 4C 0C 80
95,0.003553,767,0.936508,-1.563492,2230,2.722833,0.222833,0B FC 22 D8
96,0.003556,1638,2.000000,-0.500000,1334,1.628816,-0.871184,19 98 14 D8
97,0.003559,1088,1.328449,-1.171551,785,0.958486,-1.541514,11 00 0C 44
98,0.003562,567,0.692308,-1.807692,1894,2.312576,-0.187424,08 DC 1D 98
99,0.003566,1171,1.429792,-1.070208,2978,3.636142,1.136142,12 4E 2E 88
100,0.003569,1508,1.841270,-0.658730,920,1.123321,-1.376679,17 90 0E 60
101,0.003572,631,0.770452,-1.729548,511,0.623932,-1.876068,09 DC 07 FE
102,0.003575,750,0.915751,-1.584249,1254,1.531136,-0.968864,0B B8 13 98
103,0.003578,1587,1.937729,-0.562271,1224,1.494505,-1.005495,18 CC 13 20
104,0.003581,921,1.124542,-1.375458,1262,1.540904,-0.959096,0E 66 13 B8
105,0.003584,614,0.749695,-1.750305,990,1.208791,-1.291209,09 98 0F 78
106,0.003587,1331,1.625153,-0.874847,3208,3.916972,1.416972,14 CE 32 20
107,0.003590,1330,1.623932,-0.876068,822,1.003663,-1.496337,14 C8 0C D8
108,0.003593,539,0.658120,-1.841880,1646,2.009768,-0.490232,08 6E 19 B8
