sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.005056,1083,1.322344,-1.177656,1858,2.268620,-0.231380,00 00 43 B0 74 20
2,0.005084,3583,4.374847,1.874847,2683,3.275946,0.775946,00 00 DF F0 A7 B0
3,0.005090,1858,2.268620,-0.231380,1540,1.880342,-0.619658,00 00 74 20 60 40
4,0.005095,1412,1.724054,-0.775946,2415,2.948718,0.448718,00 00 58 40 96 F0
5,0.005099,3016,3.682540,1.182540,2095,2.557998,0.057998,00 00 BC 80 82 F0
6,0.005103,1144,1.396825,-1.103175,1276,1.557998,-0.942002,00 00 47 80 4F C0
7,0.005107,2239,2.733822,0.233822,2823,3.446886,0.946886,00 00 8B F0 B0 70
8,0.005111,2543,3.105006,0.605006,1665,2.032967,-0.467033,00 00 9E F0 68 10
9,0.005115,1085,1.324786,-1.175214,1928,2.354090,-0.145910,00 00 43 D0 78 80
10,0.005118,2960,3.614164,1.114164,2552,3.115995,0.615995,00 00 B9 00 9F 80
11,0.005122,1530,1.868132,-0.631868,1541,1.881563,-0.618437,00 00 5F A0 60 50
12,0.005126,1552,1.894994,-0.605006,2689,3.283272,0.783272,00 00 61 00 A8 10
13,0.005129,3042,3.714286,1.214286,1904,2.324786,-0.175214,00 00 BE 20 77 00
14,0.005132,1083,1.322344,-1.177656,1530,1.868132,-0.631868,00 00 43 B0 5F A0
15,0.005136,2573,3.141636,0.641636,3083,3.764347,1.264347,00 00 A0 D0 C0 B0
16,0.005139,2271,2.772894,0.272894,1543,1.884005,-0.615995,00 00 8D F0 60 70
17,0.005143,1055,1.288156,-1.211844,2080,2.539683,0.039683,00 00 41 F0 82 00
18,0.005147,3016,3.682540,1.182540,2496,3.047619,0.547619,00 00 BC 80 9C 00
19,0.005150,1016,1.240537,-1.259463,1272,1.553114,-0.946886,00 00 3F 80 4F 80
20,0.005154,1800,2.197802,-0.302198,3075,3.754579,1.254579,00 00 70 80 C0 30
21,0.005157,2800,3.418803,0.918803,1762,2.151404,-0.348596,00 00 AF 00 6E 20
22,0.005161,1053,1.285714,-1.214286,1794,2.190476,-0.309524,00 00 41 D0 70 20
23,0.005164,3040,3.711844,1.211844,2823,3.446886,0.946886,00 00 BE 00 B0 70
24,0.005168,1789,2.184371,-0.315629,1018,1.242979,-1.257021,00 00 6F D0 3F A0
25,0.005171,1272,1.553114,-0.946886,2239,2.733822,0.233822,00 00 4F 80 8B F0
26,0.005174,3131,3.822955,1.322955,2171,2.650794,0.150794,00 00 C3 B0 87 B0
27,0.005178,1293,1.578755,-0.921245,1551,1.893773,-0.606227,00 00 50 D0 60 F0
28,0.005181,2180,2.661783,0.161783,2802,3.421245,0.921245,00 00 88 40 AF 20
29,0.005187,2815,3.437118,0.937118,1565,1.910867,-0.589133,00 00 AF F0 61 D0
30,0.005190,996,1.216117,-1.283883,1904,2.324786,-0.175214,00 00 3E 40 77 00
31,0.005194,3056,3.731380,1.231380,2589,3.161172,0.661172,00 00 BF 00 A1 D0
32,0.005198,1599,1.952381,-0.547619,1016,1.240537,-1.259463,00 00 63 F0 3F 80
33,0.005201,1276,1.557998,-0.942002,2429,2.965812,0.465812,00 00 4F C0 97 D0
34,0.005204,3131,3.822955,1.322955,1952,2.383394,-0.116606,00 00 C3 B0 7A 00
35,0.005208,1287,1.571429,-0.928571,1567,1.913309,-0.586691,00 00 50 70 61 F0
36,0.005211,2528,3.086691,0.586691,3010,3.675214,1.175214,00 00 9E 00 BC 20
37,0.005214,2307,2.816850,0.316850,1274,1.555556,-0.944444,00 00 90 30 4F A0
38,0.005218,996,1.216117,-1.283883,2020,2.466422,-0.033578,00 00 3E 40 7E 40
39,0.005221,3131,3.822955,1.322955,2429,2.965812,0.465812,00 00 C3 B0 97 D0
40,0.005225,1544,1.885226,-0.614774,1474,1.799756,-0.700244,00 00 60 80 5C 20
41,0.005229,1659,2.025641,-0.474359,2799,3.417582,0.917582,00 00 67 B0 AE F0
42,0.005232,3077,3.757021,1.257021,1663,2.030525,-0.469475,00 00 C0 50 67 F0
43,0.005236,996,1.216117,-1.283883,1659,2.025641,-0.474359,00 00 3E 40 67 B0
44,0.005239,3056,3.731380,1.231380,2554,3.118437,0.618437,00 00 BF 00 9F A0
45,0.005243,1595,1.947497,-0.552503,1311,1.600733,-0.899267,00 00 63 B0 51 F0
46,0.005246,1024,1.250305,-1.249695,2567,3.134310,0.634310,00 00 40 00 A0 70
47,0.005250,3127,3.818071,1.318071,1920,2.344322,-0.155678,00 00 C3 70 78 00
48,0.005253,1287,1.571429,-0.928571,1530,1.868132,-0.631868,00 00 50 70 5F A0
49,0.005257,2690,3.284493,0.784493,3095,3.778999,1.278999,00 00 A8 20 C1 70
50,0.005260,2175,2.655678,0.155678,1551,1.893773,-0.606227,00 00 87 F0 60 F0
51,0.005263,996,1.216117,-1.283883,2079,2.538462,0.038462,00 00 3E 40 81 F0
52,0.005266,3191,3.896215,1.396215,2496,3.047619,0.547619,00 00 C7 70 9C 00
53,0.005270,1149,1.402930,-1.097070,1272,1.553114,-0.946886,00 00 47 D0 4F 80
54,0.005274,1536,1.875458,-0.624542,3075,3.754579,1.254579,00 00 60 00 C0 30
55,0.005277,3083,3.764347,1.264347,1762,2.151404,-0.348596,00 00 C0 B0 6E 20
56,0.005280,996,1.216117,-1.283883,1794,2.190476,-0.309524,00 00 3E 40 70 20
57,0.005284,3008,3.672772,1.172772,2800,3.418803,0.918803,00 00 BC 00 AF 00
58,0.005287,1790,2.185592,-0.314408,1343,1.639805,-0.860195,00 00 6F E0 53 F0
59,0.005290,512,0.625153,-1.874847,2244,2.739927,0.239927,00 00 20 00 8C 40
60,0.005296,3191,3.896215,1.396215,2191,2.675214,0.175214,00 00 C7 70 88 F0
61,0.005300,1087,1.327228,-1.172772,1024,1.250305,-1.249695,00 00 43 F0 40 00
62,0.005303,2112,2.578755,0.078755,3083,3.764347,1.264347,00 00 84 00 C0 B0
63,0.005307,2817,3.439560,0.939560,1666,2.034188,-0.465812,00 00 B0 10 68 20
64,0.005310,968,1.181929,-1.318071,1935,2.362637,-0.137363,00 00 3C 80 78 F0
65,0.005314,3585,4.377289,1.877289,3075,3.754579,1.254579,00 00 E0 10 C0 30
66,0.005317,1524,1.860806,-0.639194,1020,1.245421,-1.254579,00 00 5F 40 3F C0
67,0.005321,1540,1.880342,-0.619658,2429,2.965812,0.465812,00 00 60 40 97 D0
68,0.005324,3042,3.714286,1.214286,1952,2.383394,-0.116606,00 00 BE 20 7A 00
69,0.005327,1143,1.395604,-1.104396,1567,1.913309,-0.586691,00 00 47 70 61 F0
70,0.005331,2565,3.131868,0.631868,3010,3.675214,1.175214,00 00 A0 50 BC 20
71,0.005334,2295,2.802198,0.302198,1274,1.555556,-0.944444,00 00 8F 70 4F A0
72,0.005338,1053,1.285714,-1.214286,2018,2.463980,-0.036020,00 00 41 D0 7E 20
73,0.005341,3016,3.682540,1.182540,2429,2.965812,0.465812,00 00 BC 80 97 D0
74,0.005344,1274,1.555556,-0.944444,1016,1.240537,-1.259463,00 00 4F A0 3F 80
75,0.005348,1800,2.197802,-0.302198,2799,3.417582,0.917582,00 00 70 80 AE F0
76,0.005351,3040,3.711844,1.211844,1599,1.952381,-0.547619,00 00 BE 00 63 F0
77,0.005355,1083,1.322344,-1.177656,1661,2.028083,-0.471917,00 00 43 B0 67 D0
78,0.005358,2829,3.454212,0.954212,2823,3.446886,0.946886,00 00 B0 D0 B0 70
79,0.005362,2000,2.442002,-0.057998,1476,1.802198,-0.697802,00 00 7D 00 5C 40
80,0.005365,1295,1.581197,-0.918803,2203,2.689866,0.189866,00 00 50 F0 89 B0
81,0.005369,3060,3.736264,1.236264,2267,2.768010,0.268010,00 00 BF 40 8D B0
82,0.005372,1272,1.553114,-0.946886,1551,1.893773,-0.606227,00 00 4F 80 60 F0
83,0.005376,2036,2.485958,-0.014042,3010,3.675214,1.175214,00 00 7F 40 BC 20
84,0.005379,2679,3.271062,0.771062,1595,1.947497,-0.552503,00 00 A7 70 63 B0
85,0.005383,1039,1.268620,-1.231380,1788,2.183150,-0.316850,00 00 40 F0 6F C0
86,0.005386,2952,3.604396,1.104396,3079,3.759463,1.259463,00 00 B8 80 C0 70
87,0.005389,1020,1.245421,-1.254579,2365,2.887668,0.387668,00 00 3F C0 93 D0
88,0.005392,3063,3.739927,1.239927,2040,2.490842,-0.009158,00 00 BF 70 7F 80
89,0.005396,1293,1.578755,-0.921245,1668,2.036630,-0.463370,00 00 50 D0 68 40
90,0.005399,2434,2.971917,0.471917,2807,3.427350,0.927350,00 00 98 20 AF 70
91,0.005403,2333,2.848596,0.348596,1405,1.715507,-0.784493,00 00 91 D0 57 D0
92,0.005408,996,1.216117,-1.283883,1915,2.338217,-0.161783,00 00 3E 40 77 B0
93,0.005412,3131,3.822955,1.322955,2815,3.437118,0.937118,00 00 C3 B0 AF F0
94,0.005415,1567,1.913309,-0.586691,1020,1.245421,-1.254579,00 00 61 F0 3F C0
95,0.005419,1528,1.865690,-0.634310,2555,3.119658,0.619658,00 00 5F 80 9F B0
96,0.005422,3085,3.766789,1.266789,1924,2.349206,-0.150794,00 00 C0 D0 78 40
97,0.005426,996,1.216117,-1.283883,1795,2.191697,-0.308303,00 00 3E 40 70 30
98,0.005429,2784,3.399267,0.899267,3040,3.711844,1.211844,00 00 AE 00 BE 00
99,0.005432,2107,2.572650,0.072650,1275,1.556777,-0.943223,00 00 83 B0 4F B0
100,0.005435,510,0.622711,-1.877289,2087,2.548230,0.048230,00 00 1F E0 82 70
101,0.005439,3131,3.822955,1.322955,2559,3.124542,0.624542,00 00 C3 B0 9F F0
102,0.005443,1311,1.600733,-0.899267,1540,1.880342,-0.619658,00 00 51 F0 60 40
103,0.005446,1789,2.184371,-0.315629,2683,3.275946,0.775946,00 00 6F D0 A7 B0
104,0.005450,2823,3.446886,0.946886,1795,2.191697,-0.308303,00 00 B0 70 70 30
105,0.005453,996,1.216117,-1.283883,1823,2.225885,-0.274115,00 00 3E 40 71 F0
106,0.005551,3040,3.711844,1.211844,2946,3.597070,1.097070,00 00 BE 00 B8 20
107,0.005561,1853,2.262515,-0.237485,1276,1.557998,-0.942002,00 00 73 D0 4F C0
108,0.005647,1412,1.724054,-0.775946,2415,2.948718,0.448718,00 00 58 40 96 F0
109,0.005654,3044,3.716728,1.216728,2099,2.562882,0.062882,00 00 BE 40 83 30
110,0.005659,510,0.622711,-1.877289,1528,1.865690,-0.634310,00 00 1F E0 5F 80
111,0.005662,2239,2.733822,0.233822,3583,4.374847,1.874847,00 00 8B F0 DF F0
112,0.005666,2427,2.963370,0.463370,1020,1.245421,-1.254579,00 00 97 B0 3F C0
113,0.005670,1085,1.324786,-1.175214,1936,2.363858,-0.136142,00 00 43 D0 79 00
114,0.005673,3016,3.682540,1.182540,2552,3.115995,0.615995,00 00 BC 80 9F 80
115,0.005677,1528,1.865690,-0.634310,1541,1.881563,-0.618437,00 00 5F 80 60 50
116,0.005681,1666,2.034188,-0.465812,2532,3.091575,0.591575,00 00 68 20 9E 40
117,0.005685,3042,3.714286,1.214286,1904,2.324786,-0.175214,00 00 BE 20 77 00
118,0.005688,1083,1.322344,-1.177656,1530,1.868132,-0.631868,00 00 43 B0 5F A0
119,0.005691,2567,3.134310,0.634310,3075,3.754579,1.254579,00 00 A0 70 C0 30
120,0.005695,2223,2.714286,0.214286,1544,1.885226,-0.614774,00 00 8A F0 60 80
121,0.005699,1055,1.288156,-1.211844,2096,2.559219,0.059219,00 00 41 F0 83 00
122,0.005702,3044,3.716728,1.216728,2527,3.085470,0.585470,00 00 BE 40 9D F0
123,0.005705,1272,1.553114,-0.946886,1341,1.637363,-0.862637,00 00 4F 80 53 D0
124,0.005709,1860,2.271062,-0.228938,2821,3.444444,0.944444,00 00 74 40 B0 50
125,0.005713,2800,3.418803,0.918803,1530,1.868132,-0.631868,00 00 AF 00 5F A0
126,0.005716,1055,1.288156,-1.211844,1776,2.168498,-0.331502,00 00 41 F0 6F 00
127,0.005719,2947,3.598291,1.098291,2685,3.278388,0.778388,00 00 B8 30 A7 D0
128,0.005723,1956,2.388278,-0.111722,1543,1.884005,-0.615995,00 00 7A 40 60 70
129,0.012794,1083,1.322344,-1.177656,1727,2.108669,-0.391331,00 00 43 B0 6B F0
130,0.012820,2947,3.598291,1.098291,3008,3.672772,1.172772,00 00 B8 30 BC 00
131,0.012826,1954,2.385836,-0.114164,1276,1.557998,-0.942002,00 00 7A 20 4F C0
132,0.012830,1295,1.581197,-0.918803,2237,2.731380,0.231380,00 00 50 F0 8B D0
133,0.012834,3058,3.733822,1.233822,2205,2.692308,0.192308,00 00 BF 20 89 D0
134,0.012838,1147,1.400488,-1.099512,1508,1.841270,-0.658730,00 00 47 B0 5E 40
135,0.012841,2111,2.577534,0.077534,2800,3.418803,0.918803,00 00 83 F0 AF 00
136,0.012845,2552,3.115995,0.615995,1597,1.949939,-0.550061,00 00 9F 80 63 D0
137,0.012849,1055,1.288156,-1.211844,1789,2.184371,-0.315629,00 00 41 F0 6F D0
138,0.012852,3012,3.677656,1.177656,2819,3.442002,0.942002,00 00 BC 40 B0 30
139,0.012856,1730,2.112332,-0.387668,1474,1.799756,-0.700244,00 00 6C 20 5C 20
140,0.012859,1476,1.802198,-0.697802,2427,2.963370,0.463370,00 00 5C 40 97 B0
141,0.012863,3127,3.818071,1.318071,2018,2.463980,-0.036020,00 00 C3 70 7E 20
142,0.012866,1085,1.324786,-1.175214,1668,2.036630,-0.463370,00 00 43 D0 68 40
143,0.012870,2565,3.131868,0.631868,3008,3.672772,1.172772,00 00 A0 50 BC 00
144,0.012873,2301,2.809524,0.309524,1341,1.637363,-0.862637,00 00 8F D0 53 D0
145,0.012876,996,1.216117,-1.283883,1918,2.341880,-0.158120,00 00 3E 40 77 E0
146,0.012880,3058,3.733822,1.233822,2573,3.141636,0.641636,00 00 BF 20 A0 D0
147,0.012883,1276,1.557998,-0.942002,1474,1.799756,-0.700244,00 00 4F C0 5C 20
148,0.012887,1530,1.868132,-0.631868,2619,3.197802,0.697802,00 00 5F A0 A3 B0
149,0.012891,3099,3.783883,1.283883,1860,2.271062,-0.228938,00 00 C1 B0 74 40
150,0.012894,1053,1.285714,-1.214286,1599,1.952381,-0.547619,00 00 41 D0 63 F0
151,0.012898,3079,3.759463,1.259463,3083,3.764347,1.264347,00 00 C0 70 C0 B0
152,0.012903,2024,2.471306,-0.028694,1012,1.235653,-1.264347,00 00 7E 80 3F 40
153,0.012907,1087,1.327228,-1.172772,2223,2.714286,0.214286,00 00 43 F0 8A F0
154,0.012911,3585,4.377289,1.877289,2274,2.776557,0.276557,00 00 E0 10 8E 20
155,0.012914,1018,1.242979,-1.257021,1149,1.402930,-1.097070,00 00 3F A0 47 D0
156,0.012918,2020,2.466422,-0.033578,2947,3.598291,1.098291,00 00 7E 40 B8 30
157,0.012921,2784,3.399267,0.899267,1524,1.860806,-0.639194,00 00 AE 00 5F 40
158,0.012925,1083,1.322344,-1.177656,1922,2.346764,-0.153236,00 00 43 B0 78 20
159,0.012928,2952,3.604396,1.104396,2621,3.200244,0.700244,00 00 B8 80 A3 D0
160,0.012932,1762,2.151404,-0.348596,1476,1.802198,-0.697802,00 00 6E 20 5C 40
161,0.012936,1541,1.881563,-0.618437,2496,3.047619,0.547619,00 00 60 50 9C 00
162,0.012939,3044,3.716728,1.216728,2063,2.518926,0.018926,00 00 BE 40 80 F0
163,0.012942,1147,1.400488,-1.099512,1278,1.560440,-0.939560,00 00 47 B0 4F E0
164,0.012946,2333,2.848596,0.348596,3077,3.757021,1.257021,00 00 91 D0 C0 50
165,0.012949,2416,2.949939,0.449939,1602,1.956044,-0.543956,00 00 97 00 64 20
166,0.012953,1055,1.288156,-1.211844,1988,2.427350,-0.072650,00 00 41 F0 7C 40
167,0.012956,3016,3.682540,1.182540,2551,3.114774,0.614774,00 00 BC 80 9F 70
168,0.012960,1508,1.841270,-0.658730,1341,1.637363,-0.862637,00 00 5E 40 53 D0
169,0.012964,1668,2.036630,-0.463370,2690,3.284493,0.784493,00 00 68 40 A8 20
170,0.012967,2935,3.583639,1.083639,1787,2.181929,-0.318071,00 00 B7 70 6F B0
