sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.000694,2701,3.297924,0.797924,2039,2.489621,-0.010379,15 1A 0F EE
2,0.001509,2700,3.296703,0.796703,2039,2.489621,-0.010379,15 18 0F EE
3,0.002284,2701,3.297924,0.797924,2056,2.510379,0.010379,15 1A 10 10
4,0.002914,2700,3.296703,0.796703,2075,2.533578,0.033578,15 18 10 36
5,0.003479,2700,3.296703,0.796703,2075,2.533578,0.033578,15 18 10 36
6,0.003933,2700,3.296703,0.796703,2039,2.489621,-0.010379,15 18 0F EE
7,0.004514,2700,3.296703,0.796703,2072,2.529915,0.029915,15 18 10 30
8,0.005056,2700,3.296703,0.796703,2043,2.494505,-0.005495,15 18 0F F6
9,0.005772,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
10,0.006526,2700,3.296703,0.796703,2039,2.489621,-0.010379,15 18 0F EE
11,0.006919,2700,3.296703,0.796703,2075,2.533578,0.033578,15 18 10 36
12,0.007276,2701,3.297924,0.797924,2022,2.468864,-0.031136,15 1A 0F CC
13,0.007893,2700,3.296703,0.796703,2022,2.468864,-0.031136,15 18 0F CC
14,0.009472,2701,3.297924,0.797924,2022,2.468864,-0.031136,15 1A 0F CC
15,0.014718,2701,3.297924,0.797924,2043,2.494505,-0.005495,15 1A 0F F6
16,0.015518,2700,3.296703,0.796703,2056,2.510379,0.010379,15 18 10 10
17,0.016698,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
18,0.017594,2700,3.296703,0.796703,2023,2.470085,-0.029915,15 18 0F CE
19,0.018373,2700,3.296703,0.796703,2043,2.494505,-0.005495,15 18 0F F6
20,0.019413,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
21,0.020295,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
22,0.021044,2700,3.296703,0.796703,2072,2.529915,0.029915,15 18 10 30
23,0.026249,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
24,0.027725,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
25,0.028630,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
26,0.029330,2700,3.296703,0.796703,2073,2.531136,0.031136,15 18 10 32
27,0.030085,2700,3.296703,0.796703,2022,2.468864,-0.031136,15 18 0F CC
