sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.003421,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
2,0.003448,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
3,0.003454,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
4,0.003459,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
5,0.003463,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
6,0.003466,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
7,0.003469,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
8,0.003472,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
9,0.003474,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
10,0.003477,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
11,0.003481,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
12,0.003484,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
13,0.003486,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
14,0.003489,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
15,0.003493,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
16,0.003495,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
17,0.003499,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
18,0.003502,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
19,0.003505,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
20,0.003507,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
21,0.003510,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
22,0.003513,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
23,0.003516,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
24,0.003519,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
25,0.003521,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
26,0.003524,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
27,0.003527,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
28,0.003530,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
29,0.003533,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
30,0.003536,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
31,0.003539,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
32,0.003541,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
33,0.003544,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
34,0.003547,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
35,0.003550,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
36,0.003553,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
37,0.003556,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
38,0.003558,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
39,0.003561,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
40,0.003564,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
41,0.003567,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
42,0.003570,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
43,0.003573,1225,1.495726,-1.004274,173,0.211233,-2.288767,09 92 01 5A
44,0.003575,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
45,0.003579,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
46,0.003582,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
47,0.003585,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
48,0.003588,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
49,0.003591,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
50,0.003593,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
51,0.003596,1224,1.494505,-1.005495,174,0.212454,-2.287546,09 90 01 5C
52,0.003599,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
53,0.003605,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
54,0.003608,1224,1.494505,-1.005495,173,0.211233,-2.288767,09 90 01 5A
55,0.003611,1225,1.495726,-1.004274,174,0.212454,-2.287546,09 92 01 5C
