sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.019584,925,1.129426,-1.370574,750,0.915751,-1.584249,0E 76 0B B8
2,0.019614,539,0.658120,-1.841880,974,1.189255,-1.310745,08 6E 0F 3A
3,0.019620,1416,1.728938,-0.771062,1538,1.877900,-0.622100,16 22 18 08
4,0.019625,1305,1.593407,-0.906593,793,0.968254,-1.531746,14 66 0C 66
5,0.019629,477,0.582418,-1.917582,819,1.000000,-1.500000,07 76 0C CC
6,0.019632,915,1.117216,-1.382784,1408,1.719170,-0.780830,0E 4E 16 02
7,0.019636,1485,1.813187,-0.686813,1054,1.286935,-1.213065,17 36 10 78
8,0.019639,742,0.905983,-1.594017,748,0.913309,-1.586691,0B 98 0B B0
9,0.019643,492,0.600733,-1.899267,1079,1.317460,-1.182540,07 B2 10 DC
10,0.019646,1516,1.851038,-0.648962,1262,1.540904,-0.959096,17 B0 13 BA
11,0.019650,1160,1.416361,-1.083639,631,0.770452,-1.729548,12 22 09 DC
12,0.019653,612,0.747253,-1.752747,886,1.081807,-1.418193,09 90 0D D8
13,0.019656,1139,1.390720,-1.109280,1339,1.634921,-0.865079,11 CC 14 EE
14,0.019660,1510,1.843712,-0.656288,968,1.181929,-1.318071,17 98 0F 22
15,0.019663,630,0.769231,-1.730769,785,0.958486,-1.541514,09 D8 0C 46
16,0.019666,740,0.903541,-1.596459,1224,1.494505,-1.005495,0B 90 13 20
17,0.019669,1587,1.937729,-0.562271,1181,1.442002,-1.057998,18 CC 12 76
18,0.019673,969,1.183150,-1.316850,639,0.780220,-1.719780,0F 26 09 FC
19,0.019676,563,0.687424,-1.812576,972,1.186813,-1.313187,08 CC 0F 32
20,0.019679,1299,1.586081,-0.913919,1382,1.687424,-0.812576,14 4E 15 98
21,0.019682,1538,1.877900,-0.622100,819,1.000000,-1.500000,18 08 0C CE
22,0.019686,657,0.802198,-1.697802,819,1.000000,-1.500000,0A 46 0C CC
23,0.019688,823,1.004884,-1.495116,1408,1.719170,-0.780830,0C DC 16 02
24,0.019691,1644,2.007326,-0.492674,1100,1.343101,-1.156899,19 B0 11 30
25,0.019695,631,0.770452,-1.729548,631,0.770452,-1.729548,09 DC 09 DC
26,0.019698,622,0.759463,-1.740537,1052,1.284493,-1.215507,09 B8 10 70
27,0.019701,1555,1.898657,-0.601343,1299,1.586081,-0.913919,18 4C 14 4E
28,0.019705,1142,1.394383,-1.105617,716,0.874237,-1.625763,11 D8 0B 32
29,0.019708,566,0.691087,-1.808913,913,1.114774,-1.385226,08 D8 0E 46
