sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.001245,1467,1.791209,-0.708791,1004,1.225885,-1.274115,16 EC 0F B2
2,0.013172,819,1.000000,-1.500000,1179,1.439560,-1.060440,0C CC 12 6C
3,0.024189,1531,1.869353,-0.630647,1149,1.402930,-1.097070,17 EC 11 F6
4,0.036296,447,0.545788,-1.954212,806,0.984127,-1.515873,06 FE 0C 9A
5,0.049536,585,0.714286,-1.785714,930,1.135531,-1.364469,09 26 0E 88
6,0.064837,443,0.540904,-1.959096,795,0.970696,-1.529304,06 EC 0C 6C
7,0.075999,443,0.540904,-1.959096,733,0.894994,-1.605006,06 EC 0B 76
8,0.088159,1572,1.919414,-0.580586,996,1.216117,-1.283883,18 92 0F 92
9,0.100771,1604,1.958486,-0.541514,1117,1.363858,-1.136142,19 12 11 76
10,0.111887,1824,2.227106,-0.272894,1312,1.601954,-0.898046,1C 80 14 80
11,0.122864,868,1.059829,-1.440171,818,0.998779,-1.501221,0D 92 0C C8
12,0.133862,622,0.759463,-1.740537,1083,1.322344,-1.177656,09 BA 10 EC
13,0.146150,443,0.540904,-1.959096,733,0.894994,-1.605006,06 EC 0B 76
14,0.157214,1609,1.964591,-0.535409,1316,1.606838,-0.893162,19 26 14 92
15,0.168640,438,0.534799,-1.965201,960,1.172161,-1.327839,06 DA 0F 02
16,0.179672,580,0.708181,-1.791819,969,1.183150,-1.316850,09 12 0F 24
17,0.190747,1275,1.556777,-0.943223,921,1.124542,-1.375458,13 EC 0E 64
18,0.201871,1435,1.752137,-0.747863,1247,1.522589,-0.977411,16 6C 13 7C
19,0.213408,649,0.792430,-1.707570,868,1.059829,-1.440171,0A 24 0D 92
20,0.224694,1531,1.869353,-0.630647,1057,1.290598,-1.209402,17 EC 10 86
21,0.236050,1252,1.528694,-0.971306,877,1.070818,-1.429182,13 92 0D B6
22,0.247006,1243,1.517705,-0.982295,921,1.124542,-1.375458,13 6C 0E 64
23,0.257920,447,0.545788,-1.954212,1087,1.327228,-1.172772,06 FE 10 FE
24,0.268727,438,0.534799,-1.965201,930,1.135531,-1.364469,06 DA 0E 88
25,0.279899,537,0.655678,-1.844322,961,1.173382,-1.326618,08 64 0F 06
26,0.291192,733,0.894994,-1.605006,795,0.970696,-1.529304,0B 76 0C 6C
27,0.302566,614,0.749695,-1.750305,735,0.897436,-1.602564,09 9A 0B 7E
