sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.001532,750,0.915751,-1.584249,1132,1.382173,-1.117827,0B B8 11 B0
2,0.014188,1636,1.997558,-0.502442,1081,1.319902,-1.180098,19 90 10 E6
3,0.027630,716,0.874237,-1.625763,841,1.026862,-1.473138,0B 30 0D 26
4,0.039216,1590,1.941392,-0.558608,1064,1.299145,-1.200855,18 D8 10 A2
5,0.050553,1587,1.937729,-0.562271,1143,1.395604,-1.104396,18 CC 11 DC
6,0.061432,785,0.958486,-1.541514,1139,1.390720,-1.109280,0C 44 11 CC
7,0.072814,1809,2.208791,-0.291209,1262,1.540904,-0.959096,1C 44 13 B8
8,0.087551,1266,1.545788,-0.954212,1297,1.583639,-0.916361,13 C8 14 46
9,0.099606,622,0.759463,-1.740537,750,0.915751,-1.584249,09 B8 0B B8
10,0.110497,1484,1.811966,-0.688034,966,1.179487,-1.320513,17 32 0F 18
11,0.121375,989,1.207570,-1.292430,1288,1.572650,-0.927350,0F 76 14 22
12,0.132212,1518,1.853480,-0.646520,1190,1.452991,-1.047009,17 BA 12 98
13,0.143823,409,0.499389,-2.000611,921,1.124542,-1.375458,06 66 0E 66
14,0.155165,1638,2.000000,-0.500000,1160,1.416361,-1.083639,19 98 12 20
15,0.169242,786,0.959707,-1.540293,1113,1.358974,-1.141026,0C 48 11 66
16,0.183532,1644,2.007326,-0.492674,1203,1.468864,-1.031136,19 B0 12 CC
17,0.194536,531,0.648352,-1.851648,878,1.072039,-1.427961,08 4E 0D B8
18,0.206318,563,0.687424,-1.812576,947,1.156288,-1.343712,08 CC 0E CC
19,0.217382,461,0.562882,-1.937118,896,1.094017,-1.405983,07 36 0E 02
20,0.229073,1004,1.225885,-1.274115,766,0.935287,-1.564713,0F B2 0B F8
21,0.240105,631,0.770452,-1.729548,1039,1.268620,-1.231380,09 DC 10 3E
22,0.251290,1467,1.791209,-0.708791,1271,1.551893,-0.948107,16 EE 13 DC
23,0.263282,580,0.708181,-1.791819,968,1.181929,-1.318071,09 10 0F 22
24,0.274896,665,0.811966,-1.688034,1038,1.267399,-1.232601,0A 66 10 38
25,0.286601,1137,1.388278,-1.111722,1271,1.551893,-0.948107,11 C6 13 DC
26,0.297666,563,0.687424,-1.812576,1074,1.311355,-1.188645,08 CE 10 C8
27,0.309322,927,1.131868,-1.368132,844,1.030525,-1.469475,0E 7E 0D 32
28,0.320319,1484,1.811966,-0.688034,1260,1.538462,-0.961538,17 30 13 B2
29,0.331896,1809,2.208791,-0.291209,1281,1.564103,-0.935897,1C 44 14 04
30,0.343056,638,0.778999,-1.721001,840,1.025641,-1.474359,09 F8 0D 22
31,0.354105,909,1.109890,-1.390110,759,0.926740,-1.573260,0E 36 0B DC
32,0.365484,1538,1.877900,-0.622100,887,1.083028,-1.416972,18 08 0D DC
33,0.376476,748,0.913309,-1.586691,1107,1.351648,-1.148352,0B B0 11 4E
34,0.387669,622,0.759463,-1.740537,819,1.000000,-1.500000,09 B8 0C CC
35,0.398829,787,0.960928,-1.539072,793,0.968254,-1.531746,0C 4E 0C 66
36,0.410113,492,0.600733,-1.899267,766,0.935287,-1.564713,07 B2 0B FA
37,0.421135,1224,1.494505,-1.005495,1297,1.583639,-0.916361,13 20 14 46
38,0.433129,1587,1.937729,-0.562271,1015,1.239316,-1.260684,18 CC 0F DE
39,0.444302,1334,1.628816,-0.871184,1262,1.540904,-0.959096,14 D8 13 BA
40,0.455514,841,1.026862,-1.473138,750,0.915751,-1.584249,0D 26 0B BA
41,0.466971,1570,1.916972,-0.583028,966,1.179487,-1.320513,18 88 0F 18
42,0.478128,795,0.970696,-1.529304,819,1.000000,-1.500000,0C 6E 0C CC
43,0.489447,934,1.140415,-1.359585,1270,1.550672,-0.949328,0E 98 13 D8
44,0.500745,563,0.687424,-1.812576,795,0.970696,-1.529304,08 CC 0C 6E
45,0.512208,1638,2.000000,-0.500000,1038,1.267399,-1.232601,19 98 10 3A
46,0.523632,563,0.687424,-1.812576,750,0.915751,-1.584249,08 CE 0B BA
47,0.534896,947,1.156288,-1.343712,766,0.935287,-1.564713,0E CC 0B F8
48,0.545927,1030,1.257631,-1.242369,1297,1.583639,-0.916361,10 18 14 46
49,0.557496,473,0.577534,-1.922466,985,1.202686,-1.297314,07 66 0F 66
50,0.568743,750,0.915751,-1.584249,795,0.970696,-1.529304,0B BA 0C 6E
51,0.579701,823,1.004884,-1.495116,1281,1.564103,-0.935897,0C DC 14 04
52,0.590931,494,0.603175,-1.896825,793,0.968254,-1.531746,07 BA 0C 66
53,0.602180,1132,1.382173,-1.117827,896,1.094017,-1.405983,11 B0 0E 02
54,0.613383,631,0.770452,-1.729548,1092,1.333333,-1.166667,09 DC 11 10
55,0.624761,1083,1.322344,-1.177656,870,1.062271,-1.437729,10 EE 0D 98
56,0.635726,1516,1.851038,-0.648962,1043,1.273504,-1.226496,17 B2 10 4E
57,0.648401,1638,2.000000,-0.500000,1190,1.452991,-1.047009,19 98 12 98
58,0.659575,1638,2.000000,-0.500000,1055,1.288156,-1.211844,19 98 10 7E
59,0.670535,1046,1.277167,-1.222833,819,1.000000,-1.500000,10 58 0C CC
60,0.682783,493,0.601954,-1.898046,793,0.968254,-1.531746,07 B6 0C 66
61,0.693966,539,0.658120,-1.841880,955,1.166056,-1.333944,08 6E 0E EE
62,0.705031,614,0.749695,-1.750305,819,1.000000,-1.500000,09 98 0C CE
63,0.716130,1416,1.728938,-0.771062,887,1.083028,-1.416972,16 22 0D DE
64,0.727246,509,0.621490,-1.878510,750,0.915751,-1.584249,07 F6 0B BA
65,0.738769,750,0.915751,-1.584249,840,1.025641,-1.474359,0B B8 0D 22
66,0.750120,1097,1.339438,-1.160562,1262,1.540904,-0.959096,11 26 13 B8
67,0.761374,1501,1.832723,-0.667277,1177,1.437118,-1.062882,17 76 12 66
68,0.772878,1177,1.437118,-1.062882,1297,1.583639,-0.916361,12 66 14 46
69,0.784129,1425,1.739927,-0.760073,966,1.179487,-1.320513,16 46 0F 18
70,0.795470,1299,1.586081,-0.913919,1334,1.628816,-0.871184,14 4C 14 D8
71,0.806794,1570,1.916972,-0.583028,1262,1.540904,-0.959096,18 88 13 BA
72,0.818093,793,0.968254,-1.531746,759,0.926740,-1.573260,0C 66 0B DC
73,0.829229,1137,1.388278,-1.111722,766,0.935287,-1.564713,11 C6 0B F8
74,0.840545,1809,2.208791,-0.291209,1260,1.538462,-0.961538,1C 44 13 B2
75,0.851381,1096,1.338217,-1.161783,1245,1.520147,-0.979853,11 22 13 76
76,0.862502,819,1.000000,-1.500000,819,1.000000,-1.500000,0C CC 0C CC
77,0.873359,1480,1.807082,-0.692918,1297,1.583639,-0.916361,17 22 14 46
78,0.884658,1809,2.208791,-0.291209,1139,1.390720,-1.109280,1C 44 11 CC
79,0.895995,563,0.687424,-1.812576,925,1.129426,-1.370574,08 CC 0E 76
80,0.907163,1169,1.427350,-1.072650,1297,1.583639,-0.916361,12 46 14 44
81,0.918087,1416,1.728938,-0.771062,887,1.083028,-1.416972,16 22 0D DC
82,0.929067,1408,1.719170,-0.780830,1271,1.551893,-0.948107,16 02 13 DC
83,0.939993,473,0.577534,-1.922466,908,1.108669,-1.391331,07 66 0E 32
84,0.951387,1079,1.317460,-1.182540,844,1.030525,-1.469475,10 DC 0D 32
85,0.962558,742,0.905983,-1.594017,793,0.968254,-1.531746,0B 98 0C 66
86,0.973346,1501,1.832723,-0.667277,1177,1.437118,-1.062882,17 76 12 66
87,0.984318,1638,2.000000,-0.500000,1299,1.586081,-0.913919,19 98 14 4C
88,0.995320,477,0.582418,-1.917582,1036,1.264957,-1.235043,07 76 10 30
89,1.006488,1467,1.791209,-0.708791,1019,1.244200,-1.255800,16 EE 0F EE
90,1.017549,909,1.109890,-1.390110,1228,1.499389,-1.000611,0E 36 13 30
91,1.028682,494,0.603175,-1.896825,1009,1.231990,-1.268010,07 BA 0F C6
92,1.039865,1587,1.937729,-0.562271,1036,1.264957,-1.235043,18 CC 10 32
93,1.051544,786,0.959707,-1.540293,1126,1.374847,-1.125153,0C 48 11 98
94,1.062608,531,0.648352,-1.851648,766,0.935287,-1.564713,08 4E 0B FA
95,1.073625,477,0.582418,-1.917582,887,1.083028,-1.416972,07 76 0D DC
96,1.084757,1092,1.333333,-1.166667,1260,1.538462,-0.961538,11 10 13 B2
97,1.095720,1297,1.583639,-0.916361,1299,1.586081,-0.913919,14 44 14 4C
98,1.108030,787,0.960928,-1.539072,844,1.030525,-1.469475,0C 4C 0D 32
99,1.119509,477,0.582418,-1.917582,925,1.129426,-1.370574,07 76 0E 76
100,1.130962,1254,1.531136,-0.968864,908,1.108669,-1.391331,13 98 0E 32
101,1.141916,1390,1.697192,-0.802808,1262,1.540904,-0.959096,15 B8 13 BA
102,1.152899,1484,1.811966,-0.688034,1260,1.538462,-0.961538,17 32 13 B2
103,1.164303,802,0.979243,-1.520757,750,0.915751,-1.584249,0C 88 0B BA
104,1.175444,1015,1.239316,-1.260684,750,0.915751,-1.584249,0F DE 0B BA
105,1.186865,460,0.561661,-1.938339,870,1.062271,-1.437729,07 32 0D 98
106,1.198257,896,1.094017,-1.405983,1252,1.528694,-0.971306,0E 02 13 90
107,1.209565,1096,1.338217,-1.161783,827,1.009768,-1.490232,11 22 0C EE
108,1.221138,1587,1.937729,-0.562271,1083,1.322344,-1.177656,18 CC 10 EE
109,1.232253,750,0.915751,-1.584249,1164,1.421245,-1.078755,0B B8 12 32
110,1.243593,1382,1.687424,-0.812576,934,1.140415,-1.359585,15 98 0E 98
111,1.254738,614,0.749695,-1.750305,1009,1.231990,-1.268010,09 98 0F C6
112,1.265977,716,0.874237,-1.625763,793,0.968254,-1.531746,0B 30 0C 66
113,1.277450,1137,1.388278,-1.111722,1297,1.583639,-0.916361,11 C4 14 46
114,1.288742,460,0.561661,-1.938339,960,1.172161,-1.327839,07 32 0F 00
115,1.299580,477,0.582418,-1.917582,968,1.181929,-1.318071,07 76 0F 22
116,1.311240,563,0.687424,-1.812576,905,1.105006,-1.394994,08 CC 0E 26
117,1.322485,1139,1.390720,-1.109280,827,1.009768,-1.490232,11 CE 0C EE
118,1.333830,895,1.092796,-1.407204,795,0.970696,-1.529304,0D FC 0C 6E
119,1.344963,1809,2.208791,-0.291209,1228,1.499389,-1.000611,1C 44 13 30
120,1.356124,477,0.582418,-1.917582,750,0.915751,-1.584249,07 76 0B BA
121,1.367640,1481,1.808303,-0.691697,995,1.214896,-1.285104,17 26 0F 8C
122,1.378911,1433,1.749695,-0.750305,1005,1.227106,-1.272894,16 66 0F B6
123,1.390255,460,0.561661,-1.938339,887,1.083028,-1.416972,07 32 0D DC
124,1.401416,1417,1.730159,-0.769841,1297,1.583639,-0.916361,16 26 14 46
125,1.412675,1501,1.832723,-0.667277,1139,1.390720,-1.109280,17 76 11 CE
126,1.424892,1263,1.542125,-0.957875,1279,1.561661,-0.938339,13 BE 13 FC
127,1.436348,1417,1.730159,-0.769841,947,1.156288,-1.343712,16 26 0E CE
128,1.447761,492,0.600733,-1.899267,822,1.003663,-1.496337,07 B2 0C D8
129,1.459049,612,0.747253,-1.752747,750,0.915751,-1.584249,09 90 0B BA
130,1.470382,1484,1.811966,-0.688034,1408,1.719170,-0.780830,17 32 16 02
131,1.481537,1177,1.437118,-1.062882,904,1.103785,-1.396215,12 66 0E 22
132,1.492406,1809,2.208791,-0.291209,1228,1.499389,-1.000611,1C 44 13 30
133,1.503475,795,0.970696,-1.529304,1220,1.489621,-1.010379,0C 6E 13 10
134,1.514808,1484,1.811966,-0.688034,895,1.092796,-1.407204,17 30 0D FC
135,1.525866,1433,1.749695,-0.750305,1408,1.719170,-0.780830,16 66 16 02
136,1.537098,563,0.687424,-1.812576,819,1.000000,-1.500000,08 CE 0C CE
137,1.548296,1107,1.351648,-1.148352,896,1.094017,-1.405983,11 4C 0E 02
138,1.559666,477,0.582418,-1.917582,819,1.000000,-1.500000,07 76 0C CE
139,1.570903,767,0.936508,-1.563492,1228,1.499389,-1.000611,0B FE 13 32
140,1.582073,1075,1.312576,-1.187424,1260,1.538462,-0.961538,10 CC 13 B2
141,1.593457,1388,1.694750,-0.805250,1334,1.628816,-0.871184,15 B0 14 D8
142,1.604520,1416,1.728938,-0.771062,915,1.117216,-1.382784,16 22 0E 4E
