sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.000685,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
2,0.013865,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
3,0.025017,0,0.000000,-2.500000,622,0.759463,-1.740537,00 00 13 70
4,0.036193,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
5,0.047442,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
6,0.058859,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
7,0.072819,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
8,0.083907,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
9,0.095014,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
10,0.106452,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
11,0.117669,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
12,0.130418,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
13,0.141689,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
14,0.152647,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
15,0.163702,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
16,0.174953,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
17,0.186267,0,0.000000,-2.500000,3072,3.750916,1.250916,00 00 60 00
18,0.197459,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
19,0.208755,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
20,0.219944,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
21,0.230938,0,0.000000,-2.500000,3840,4.688645,2.188645,00 00 78 00
22,0.242078,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
23,0.253417,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
24,0.264699,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
25,0.275886,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
26,0.288435,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
27,0.300673,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
28,0.312305,0,0.000000,-2.500000,1536,1.875458,-0.624542,00 00 30 00
29,0.323461,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
30,0.334543,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
31,0.345407,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
32,0.356511,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
33,0.368821,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
34,0.380973,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
35,0.392725,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
36,0.405373,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
37,0.416471,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
38,0.427924,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
39,0.439211,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
40,0.450335,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
41,0.461489,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
42,0.472602,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
43,0.484072,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
44,0.495665,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
45,0.506716,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
46,0.519821,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
47,0.531117,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
48,0.542240,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
49,0.554916,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
50,0.565768,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
51,0.576961,0,0.000000,-2.500000,1024,1.250305,-1.249695,00 00 A0 00
52,0.588311,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
53,0.600121,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
54,0.611462,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
55,0.622768,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
56,0.633990,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
57,0.645502,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
58,0.656568,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
59,0.667632,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
60,0.678838,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
61,0.690561,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
62,0.701590,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
63,0.712866,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
64,0.724381,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
65,0.735597,0,0.000000,-2.500000,1024,1.250305,-1.249695,00 00 A0 00
66,0.746685,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
67,0.758017,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
68,0.769048,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
69,0.780375,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
70,0.791437,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
71,0.802487,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
72,0.813835,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
