sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.000868,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
2,0.011872,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
3,0.022823,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
4,0.034100,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
5,0.045011,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
6,0.056412,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
7,0.067306,0,0.000000,-2.500000,3008,3.672772,1.172772,00 00 5E 00
8,0.078341,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
9,0.089697,0,0.000000,-2.500000,2944,3.594628,1.094628,00 00 DC 00
10,0.100664,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
11,0.111931,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
12,0.123299,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
13,0.135081,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
14,0.146011,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
15,0.157301,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
16,0.168664,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
17,0.179685,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
18,0.190858,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
19,0.201895,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
20,0.212848,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
21,0.224113,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
22,0.235401,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
23,0.247385,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
24,0.260252,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
25,0.271210,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
26,0.282578,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
27,0.293690,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
28,0.304921,0,0.000000,-2.500000,0,0.000000,-2.500000,00 00 00 00
29,0.316325,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
30,0.327588,0,0.000000,-2.500000,4094,4.998779,2.498779,00 00 FF F0
