sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.001713,2700,3.296703,0.796703,2072,2.529915,0.029915,15 18 10 30
2,0.003763,2700,3.296703,0.796703,2056,2.510379,0.010379,15 18 10 10
3,0.004653,2701,3.297924,0.797924,2022,2.468864,-0.031136,15 1A 0F CC
4,0.009175,2700,3.296703,0.796703,2023,2.470085,-0.029915,15 18 0F CE
5,0.011611,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
6,0.014091,2701,3.297924,0.797924,2074,2.532357,0.032357,15 1A 10 34
7,0.014928,2701,3.297924,0.797924,2074,2.532357,0.032357,15 1A 10 34
8,0.017467,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
9,0.019759,2700,3.296703,0.796703,2072,2.529915,0.029915,15 18 10 30
10,0.020485,2701,3.297924,0.797924,2046,2.498168,-0.001832,15 1A 0F FC
11,0.021990,2700,3.296703,0.796703,2023,2.470085,-0.029915,15 18 0F CE
12,0.023031,2701,3.297924,0.797924,2022,2.468864,-0.031136,15 1A 0F CC
13,0.024408,2700,3.296703,0.796703,2038,2.488400,-0.011600,15 18 0F EC
14,0.026183,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
15,0.028226,2700,3.296703,0.796703,2073,2.531136,0.031136,15 18 10 32
16,0.028970,2700,3.296703,0.796703,2048,2.500611,0.000611,15 18 10 00
17,0.031116,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
18,0.035667,2701,3.297924,0.797924,2030,2.478632,-0.021368,15 1A 0F DC
19,0.036928,2700,3.296703,0.796703,2078,2.537241,0.037241,15 18 10 3C
20,0.042208,2700,3.296703,0.796703,2023,2.470085,-0.029915,15 18 0F CE
21,0.046881,2701,3.297924,0.797924,2056,2.510379,0.010379,15 1A 10 10
22,0.048050,2700,3.296703,0.796703,2022,2.468864,-0.031136,15 18 0F CC
23,0.049046,2700,3.296703,0.796703,2056,2.510379,0.010379,15 18 10 10
24,0.050169,2700,3.296703,0.796703,2056,2.510379,0.010379,15 18 10 10
25,0.051428,2700,3.296703,0.796703,2056,2.510379,0.010379,15 18 10 10
26,0.052626,2700,3.296703,0.796703,2022,2.468864,-0.031136,15 18 0F CC
27,0.053825,2700,3.296703,0.796703,2038,2.488400,-0.011600,15 18 0F EC
28,0.058393,2700,3.296703,0.796703,2074,2.532357,0.032357,15 18 10 34
29,0.059295,2700,3.296703,0.796703,2060,2.515263,0.015263,15 18 10 18
30,0.063088,2700,3.296703,0.796703,2072,2.529915,0.029915,15 18 10 30
31,0.063889,2700,3.296703,0.796703,2046,2.498168,-0.001832,15 18 0F FC
32,0.065078,2700,3.296703,0.796703,2056,2.510379,0.010379,15 18 10 10
33,0.065889,2701,3.297924,0.797924,2030,2.478632,-0.021368,15 1A 0F DC
34,0.066495,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
35,0.067167,2700,3.296703,0.796703,2074,2.532357,0.032357,15 18 10 34
36,0.067916,2700,3.296703,0.796703,2030,2.478632,-0.021368,15 18 0F DC
37,0.069028,2701,3.297924,0.797924,2067,2.523810,0.023810,15 1A 10 26
