sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.001271,2525,3.083028,0.583028,2067,2.523810,0.023810,13 BA 10 26
2,0.003340,3072,3.750916,1.250916,2048,2.500611,0.000611,18 00 10 00
3,0.006390,2556,3.120879,0.620879,2048,2.500611,0.000611,13 F8 10 00
4,0.008956,2817,3.439560,0.939560,2075,2.533578,0.033578,16 02 10 36
5,0.011116,3072,3.750916,1.250916,2030,2.478632,-0.021368,18 00 0F DC
6,0.013703,2662,3.250305,0.750305,2064,2.520147,0.020147,14 CC 10 20
7,0.015711,3072,3.750916,1.250916,2072,2.529915,0.029915,18 00 10 30
8,0.017551,2599,3.173382,0.673382,2048,2.500611,0.000611,14 4E 10 00
9,0.021703,2662,3.250305,0.750305,2075,2.533578,0.033578,14 CC 10 36
10,0.023534,2521,3.078144,0.578144,2030,2.478632,-0.021368,13 B2 0F DC
11,0.025598,2491,3.041514,0.541514,2048,2.500611,0.000611,13 76 10 00
12,0.029692,2599,3.173382,0.673382,2056,2.510379,0.010379,14 4E 10 10
13,0.033377,2556,3.120879,0.620879,2073,2.531136,0.031136,13 F8 10 32
14,0.036355,2662,3.250305,0.750305,2023,2.470085,-0.029915,14 CC 0F CE
15,0.039567,2611,3.188034,0.688034,2075,2.533578,0.033578,14 66 10 36
16,0.043803,2817,3.439560,0.939560,2030,2.478632,-0.021368,16 02 0F DC
17,0.045695,2668,3.257631,0.757631,2075,2.533578,0.033578,14 D8 10 36
18,0.052517,2525,3.083028,0.583028,2072,2.529915,0.029915,13 BA 10 30
19,0.055604,2595,3.168498,0.668498,2039,2.489621,-0.010379,14 46 0F EE
20,0.059019,2558,3.123321,0.623321,2048,2.500611,0.000611,13 FC 10 00
21,0.060798,2521,3.078144,0.578144,2075,2.533578,0.033578,13 B2 10 36
22,0.062848,2556,3.120879,0.620879,2075,2.533578,0.033578,13 F8 10 36
23,0.064780,2833,3.459096,0.959096,2048,2.500611,0.000611,16 22 10 00
24,0.067718,2558,3.123321,0.623321,2056,2.510379,0.010379,13 FC 10 10
25,0.071427,2595,3.168498,0.668498,2056,2.510379,0.010379,14 46 10 10
26,0.076468,2525,3.083028,0.583028,2043,2.494505,-0.005495,13 BA 0F F6
27,0.078836,2611,3.188034,0.688034,2039,2.489621,-0.010379,14 66 0F EE
28,0.080993,2525,3.083028,0.583028,2056,2.510379,0.010379,13 BA 10 10
29,0.083103,2491,3.041514,0.541514,2030,2.478632,-0.021368,13 76 0F DC
30,0.085168,2662,3.250305,0.750305,2023,2.470085,-0.029915,14 CC 0F CE
31,0.087192,3072,3.750916,1.250916,2064,2.520147,0.020147,18 00 10 20
32,0.089243,2521,3.078144,0.578144,2056,2.510379,0.010379,13 B2 10 10
33,0.091310,2521,3.078144,0.578144,2048,2.500611,0.000611,13 B2 10 00
34,0.093504,2491,3.041514,0.541514,2043,2.494505,-0.005495,13 76 0F F6
35,0.095476,2599,3.173382,0.673382,2048,2.500611,0.000611,14 4E 10 00
36,0.097437,2521,3.078144,0.578144,2067,2.523810,0.023810,13 B2 10 26
37,0.099487,2558,3.123321,0.623321,2048,2.500611,0.000611,13 FC 10 00
