sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.002466,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
2,0.007274,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
3,0.014196,3072,3.750916,1.250916,2048,2.500611,0.000611,18 00 10 00
4,0.017720,2768,3.379731,0.879731,2049,2.501832,0.001832,15 A0 10 02
5,0.022097,2599,3.173382,0.673382,2072,2.529915,0.029915,14 4E 10 30
6,0.024706,2558,3.123321,0.623321,2048,2.500611,0.000611,13 FC 10 00
7,0.026843,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
8,0.028715,2558,3.123321,0.623321,2048,2.500611,0.000611,13 FC 10 00
9,0.030545,2776,3.389499,0.889499,2031,2.479853,-0.020147,15 B0 0F DE
10,0.032475,2944,3.594628,1.094628,2031,2.479853,-0.020147,17 00 0F DE
11,0.034380,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
12,0.036784,2816,3.438339,0.938339,2049,2.501832,0.001832,16 00 10 02
13,0.043622,2563,3.129426,0.629426,2023,2.470085,-0.029915,14 06 0F CE
14,0.046787,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
15,0.049605,3072,3.750916,1.250916,1967,2.401709,-0.098291,18 00 0F 5E
16,0.053363,2776,3.389499,0.889499,2080,2.539683,0.039683,15 B0 10 40
17,0.056998,2561,3.126984,0.626984,2046,2.498168,-0.001832,14 02 0F FC
18,0.059035,3072,3.750916,1.250916,2064,2.520147,0.020147,18 00 10 20
19,0.061135,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
20,0.063083,2816,3.438339,0.938339,2047,2.499389,-0.000611,16 00 0F FE
21,0.065551,3072,3.750916,1.250916,2031,2.479853,-0.020147,18 00 0F DE
22,0.067443,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
23,0.070286,2816,3.438339,0.938339,2064,2.520147,0.020147,16 00 10 20
24,0.073428,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
25,0.075854,2599,3.173382,0.673382,2046,2.498168,-0.001832,14 4E 0F FC
26,0.078659,2816,3.438339,0.938339,2072,2.529915,0.029915,16 00 10 30
27,0.081398,2561,3.126984,0.626984,2049,2.501832,0.001832,14 02 10 02
28,0.083629,2816,3.438339,0.938339,2072,2.529915,0.029915,16 00 10 30
29,0.087324,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
30,0.089955,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
31,0.092103,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
32,0.095353,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
33,0.097690,2768,3.379731,0.879731,2072,2.529915,0.029915,15 A0 10 30
34,0.100961,2816,3.438339,0.938339,2047,2.499389,-0.000611,16 00 0F FE
35,0.104447,3072,3.750916,1.250916,2031,2.479853,-0.020147,18 00 0F DE
36,0.108593,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
37,0.112156,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
38,0.114814,2567,3.134310,0.634310,2049,2.501832,0.001832,14 0E 10 02
39,0.118410,2558,3.123321,0.623321,2049,2.501832,0.001832,13 FC 10 02
40,0.122678,2776,3.389499,0.889499,2072,2.529915,0.029915,15 B0 10 30
41,0.125700,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
42,0.129071,2559,3.124542,0.624542,2047,2.499389,-0.000611,13 FE 0F FE
43,0.131288,2558,3.123321,0.623321,2047,2.499389,-0.000611,13 FC 0F FE
44,0.134196,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
45,0.137436,2776,3.389499,0.889499,2023,2.470085,-0.029915,15 B0 0F CE
46,0.140005,2559,3.124542,0.624542,2064,2.520147,0.020147,13 FE 10 20
47,0.142785,2559,3.124542,0.624542,2031,2.479853,-0.020147,13 FE 0F DE
48,0.145736,2768,3.379731,0.879731,2046,2.498168,-0.001832,15 A0 0F FC
49,0.147842,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
50,0.151046,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
51,0.153360,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
52,0.155372,2599,3.173382,0.673382,2046,2.498168,-0.001832,14 4E 0F FC
53,0.157617,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
54,0.159708,2558,3.123321,0.623321,2031,2.479853,-0.020147,13 FC 0F DE
55,0.161907,2559,3.124542,0.624542,2031,2.479853,-0.020147,13 FE 0F DE
56,0.166634,2816,3.438339,0.938339,2031,2.479853,-0.020147,16 00 0F DE
57,0.171072,2816,3.438339,0.938339,2031,2.479853,-0.020147,16 00 0F DE
58,0.173796,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
59,0.181980,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
60,0.189372,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
61,0.196504,2567,3.134310,0.634310,2049,2.501832,0.001832,14 0E 10 02
62,0.199195,2567,3.134310,0.634310,2048,2.500611,0.000611,14 0E 10 00
63,0.205750,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
64,0.209434,2559,3.124542,0.624542,2072,2.529915,0.029915,13 FE 10 30
65,0.211388,2561,3.126984,0.626984,2046,2.498168,-0.001832,14 02 0F FC
66,0.213622,2776,3.389499,0.889499,2047,2.499389,-0.000611,15 B0 0F FE
67,0.216042,2563,3.129426,0.629426,2047,2.499389,-0.000611,14 06 0F FE
68,0.218380,2768,3.379731,0.879731,2049,2.501832,0.001832,15 A0 10 02
69,0.220622,2567,3.134310,0.634310,2064,2.520147,0.020147,14 0E 10 20
70,0.222670,2559,3.124542,0.624542,2072,2.529915,0.029915,13 FE 10 30
71,0.224556,3072,3.750916,1.250916,1967,2.401709,-0.098291,18 00 0F 5E
72,0.226423,2567,3.134310,0.634310,2046,2.498168,-0.001832,14 0E 0F FC
73,0.228276,2558,3.123321,0.623321,2049,2.501832,0.001832,13 FC 10 02
74,0.234489,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
75,0.236945,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
76,0.238952,2816,3.438339,0.938339,2072,2.529915,0.029915,16 00 10 30
77,0.255944,2559,3.124542,0.624542,2072,2.529915,0.029915,13 FE 10 30
78,0.258988,2563,3.129426,0.629426,2023,2.470085,-0.029915,14 06 0F CE
79,0.261035,2559,3.124542,0.624542,2072,2.529915,0.029915,13 FE 10 30
80,0.263626,2559,3.124542,0.624542,2047,2.499389,-0.000611,13 FE 0F FE
81,0.265933,2558,3.123321,0.623321,2031,2.479853,-0.020147,13 FC 0F DE
82,0.268309,2816,3.438339,0.938339,2072,2.529915,0.029915,16 00 10 30
83,0.282951,2559,3.124542,0.624542,2072,2.529915,0.029915,13 FE 10 30
84,0.285398,2944,3.594628,1.094628,2072,2.529915,0.029915,17 00 10 30
85,0.287738,2816,3.438339,0.938339,2031,2.479853,-0.020147,16 00 0F DE
86,0.290103,2816,3.438339,0.938339,2049,2.501832,0.001832,16 00 10 02
87,0.292451,2816,3.438339,0.938339,2031,2.479853,-0.020147,16 00 0F DE
88,0.294983,2559,3.124542,0.624542,2023,2.470085,-0.029915,13 FE 0F CE
89,0.297514,2558,3.123321,0.623321,2031,2.479853,-0.020147,13 FC 0F DE
90,0.299584,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
91,0.301726,2944,3.594628,1.094628,2023,2.470085,-0.029915,17 00 0F CE
92,0.303793,2543,3.105006,0.605006,2076,2.534799,0.034799,13 DE 10 38
93,0.305728,2563,3.129426,0.629426,2046,2.498168,-0.001832,14 06 0F FC
94,0.307701,2816,3.438339,0.938339,2072,2.529915,0.029915,16 00 10 30
95,0.310889,2559,3.124542,0.624542,2080,2.539683,0.039683,13 FE 10 40
96,0.313301,2944,3.594628,1.094628,2049,2.501832,0.001832,17 00 10 02
97,0.315133,2563,3.129426,0.629426,2031,2.479853,-0.020147,14 06 0F DE
98,0.316833,2567,3.134310,0.634310,2046,2.498168,-0.001832,14 0E 0F FC
99,0.318735,2559,3.124542,0.624542,1967,2.401709,-0.098291,13 FE 0F 5E
100,0.320707,2816,3.438339,0.938339,2049,2.501832,0.001832,16 00 10 02
101,0.322657,3072,3.750916,1.250916,2064,2.520147,0.020147,18 00 10 20
102,0.324393,2561,3.126984,0.626984,2023,2.470085,-0.029915,14 02 0F CE
103,0.326060,2556,3.120879,0.620879,2031,2.479853,-0.020147,13 F8 0F DE
104,0.327815,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
105,0.329735,2944,3.594628,1.094628,2049,2.501832,0.001832,17 00 10 02
106,0.331664,2559,3.124542,0.624542,2031,2.479853,-0.020147,13 FE 0F DE
107,0.333613,2558,3.123321,0.623321,2046,2.498168,-0.001832,13 FC 0F FC
108,0.335728,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
109,0.337899,2816,3.438339,0.938339,2048,2.500611,0.000611,16 00 10 00
110,0.340358,3072,3.750916,1.250916,2072,2.529915,0.029915,18 00 10 30
111,0.343097,2567,3.134310,0.634310,2076,2.534799,0.034799,14 0E 10 38
112,0.347075,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
113,0.349267,3072,3.750916,1.250916,2049,2.501832,0.001832,18 00 10 02
114,0.351067,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
115,0.353908,2944,3.594628,1.094628,2046,2.498168,-0.001832,17 00 0F FC
116,0.355665,2944,3.594628,1.094628,2046,2.498168,-0.001832,17 00 0F FC
117,0.357861,2559,3.124542,0.624542,2023,2.470085,-0.029915,13 FE 0F CE
118,0.359889,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
119,0.361664,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
120,0.363618,2944,3.594628,1.094628,2046,2.498168,-0.001832,17 00 0F FC
121,0.365550,2944,3.594628,1.094628,2023,2.470085,-0.029915,17 00 0F CE
122,0.367933,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
123,0.370456,2808,3.428571,0.928571,2064,2.520147,0.020147,15 F0 10 20
124,0.373071,3072,3.750916,1.250916,2049,2.501832,0.001832,18 00 10 02
125,0.375528,2559,3.124542,0.624542,2031,2.479853,-0.020147,13 FE 0F DE
126,0.378037,2599,3.173382,0.673382,2046,2.498168,-0.001832,14 4E 0F FC
127,0.380786,2558,3.123321,0.623321,2031,2.479853,-0.020147,13 FC 0F DE
128,0.383755,2567,3.134310,0.634310,2031,2.479853,-0.020147,14 0E 0F DE
129,0.387605,3072,3.750916,1.250916,2046,2.498168,-0.001832,18 00 0F FC
130,0.390544,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
131,0.393816,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
132,0.397236,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
133,0.400538,2563,3.129426,0.629426,2072,2.529915,0.029915,14 06 10 30
134,0.404431,2559,3.124542,0.624542,2047,2.499389,-0.000611,13 FE 0F FE
135,0.407446,2816,3.438339,0.938339,2049,2.501832,0.001832,16 00 10 02
136,0.410818,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
137,0.414593,2559,3.124542,0.624542,2023,2.470085,-0.029915,13 FE 0F CE
138,0.418266,2816,3.438339,0.938339,2080,2.539683,0.039683,16 00 10 40
139,0.422350,2567,3.134310,0.634310,2080,2.539683,0.039683,14 0E 10 40
140,0.426426,2944,3.594628,1.094628,2049,2.501832,0.001832,17 00 10 02
141,0.429984,2567,3.134310,0.634310,2046,2.498168,-0.001832,14 0E 0F FC
142,0.433882,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
143,0.436947,2558,3.123321,0.623321,2064,2.520147,0.020147,13 FC 10 20
144,0.440051,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
145,0.444703,2559,3.124542,0.624542,2046,2.498168,-0.001832,13 FE 0F FC
146,0.447085,2768,3.379731,0.879731,2031,2.479853,-0.020147,15 A0 0F DE
147,0.449307,2567,3.134310,0.634310,2046,2.498168,-0.001832,14 0E 0F FC
148,0.451859,2816,3.438339,0.938339,2046,2.498168,-0.001832,16 00 0F FC
149,0.454673,2816,3.438339,0.938339,2064,2.520147,0.020147,16 00 10 20
150,0.457561,2561,3.126984,0.626984,2049,2.501832,0.001832,14 02 10 02
151,0.460509,2567,3.134310,0.634310,1967,2.401709,-0.098291,14 0E 0F 5E
152,0.463397,2816,3.438339,0.938339,2064,2.520147,0.020147,16 00 10 20
153,0.466921,2559,3.124542,0.624542,2049,2.501832,0.001832,13 FE 10 02
154,0.470790,2559,3.124542,0.624542,2031,2.479853,-0.020147,13 FE 0F DE
155,0.474499,2944,3.594628,1.094628,2072,2.529915,0.029915,17 00 10 30
