sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
1,0.000179,1347,1.644689,-0.855311,2669,3.258852,0.758852,0A 86 14 DA
2,0.201066,1346,1.643468,-0.856532,2668,3.257631,0.757631,0A 84 14 D8
3,0.300240,1348,1.645910,-0.854090,2670,3.260073,0.760073,0A 88 14 DC
4,0.400515,1345,1.642247,-0.857753,2668,3.257631,0.757631,0A 82 14 D8
5,0.500239,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
6,0.600249,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
7,0.700260,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
8,0.800667,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
9,0.900570,1352,1.650794,-0.849206,2672,3.262515,0.762515,0A 90 14 E0
10,1.000557,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
11,1.100358,1351,1.649573,-0.850427,2674,3.264957,0.764957,0A 8E 14 E4
12,1.200357,1351,1.649573,-0.850427,2673,3.263736,0.763736,0A 8E 14 E2
13,1.300591,1351,1.649573,-0.850427,2673,3.263736,0.763736,0A 8E 14 E2
14,1.400244,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
15,1.500238,1351,1.649573,-0.850427,2673,3.263736,0.763736,0A 8E 14 E2
16,1.600523,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
17,1.700173,1343,1.639805,-0.860195,2664,3.252747,0.752747,0A 7E 14 D0
18,1.800607,1345,1.642247,-0.857753,2668,3.257631,0.757631,0A 82 14 D8
19,1.900563,1347,1.644689,-0.855311,2667,3.256410,0.756410,0A 86 14 D6
20,2.000637,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
21,2.100244,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
22,2.200625,1350,1.648352,-0.851648,2673,3.263736,0.763736,0A 8C 14 E2
23,2.300648,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
24,2.400613,1351,1.649573,-0.850427,2673,3.263736,0.763736,0A 8E 14 E2
25,2.501245,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
26,2.600407,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
27,2.700488,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
28,2.800617,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
29,2.900412,1350,1.648352,-0.851648,2673,3.263736,0.763736,0A 8C 14 E2
30,3.001692,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
31,3.100520,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
32,3.200201,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
33,3.300645,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
34,3.400290,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
35,3.500658,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
36,3.600287,1351,1.649573,-0.850427,2670,3.260073,0.760073,0A 8E 14 DC
37,3.700574,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
38,3.801138,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
39,3.900600,1349,1.647131,-0.852869,2670,3.260073,0.760073,0A 8A 14 DC
40,4.000515,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
41,4.100368,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
42,4.201108,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
43,4.300556,1351,1.649573,-0.850427,2670,3.260073,0.760073,0A 8E 14 DC
44,4.406448,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
45,4.500525,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
46,4.600582,1352,1.650794,-0.849206,2671,3.261294,0.761294,0A 90 14 DE
47,4.700559,1352,1.650794,-0.849206,2671,3.261294,0.761294,0A 90 14 DE
48,4.800567,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
49,4.900580,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
50,5.000453,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
51,5.100499,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
52,5.200407,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
53,5.300658,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
54,5.402293,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
55,5.500480,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
56,5.600618,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
57,5.700640,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
58,5.800529,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
59,5.900667,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
60,6.000632,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
61,6.102345,1349,1.647131,-0.852869,2670,3.260073,0.760073,0A 8A 14 DC
62,6.200396,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
63,6.300376,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
64,6.401052,1352,1.650794,-0.849206,2672,3.262515,0.762515,0A 90 14 E0
65,6.500417,1351,1.649573,-0.850427,2673,3.263736,0.763736,0A 8E 14 E2
66,6.600637,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
67,6.700617,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
68,6.800344,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
69,6.900191,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
70,7.000488,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
71,7.100541,1351,1.649573,-0.850427,2670,3.260073,0.760073,0A 8E 14 DC
72,7.202108,1351,1.649573,-0.850427,2670,3.260073,0.760073,0A 8E 14 DC
73,7.300584,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
74,7.400936,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
75,7.500310,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
76,7.600379,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
77,7.700615,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
78,7.800480,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
79,7.900412,1350,1.648352,-0.851648,2672,3.262515,0.762515,0A 8C 14 E0
80,8.000515,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
81,8.101676,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
82,8.200450,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
83,8.300498,1351,1.649573,-0.850427,2672,3.262515,0.762515,0A 8E 14 E0
84,8.400362,1350,1.648352,-0.851648,2670,3.260073,0.760073,0A 8C 14 DC
85,8.500732,1351,1.649573,-0.850427,2670,3.260073,0.760073,0A 8E 14 DC
86,8.602920,1351,1.649573,-0.850427,2671,3.261294,0.761294,0A 8E 14 DE
87,8.700375,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
88,8.801370,1350,1.648352,-0.851648,2671,3.261294,0.761294,0A 8C 14 DE
