frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
95000,1,1,1,2.390238,435,0.531136,-1.968864,180,0.219780,-2.280220,03 66 01 68
95000,1,1,2,2.390254,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,3,2.390257,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,4,2.390259,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,5,2.390260,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,6,2.390262,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,7,2.390263,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,8,2.390274,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,9,2.390275,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,10,2.390281,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,11,2.390283,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,12,2.390284,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,13,2.390285,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,14,2.390286,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,15,2.390288,434,0.529915,-1.970085,179,0.218559,-2.281441,03 64 01 66
95000,1,1,16,2.390289,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,17,2.390290,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,18,2.390292,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,19,2.390293,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,20,2.390295,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,21,2.390296,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,22,2.390298,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,23,2.390300,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,24,2.390301,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,25,2.390302,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,26,2.390304,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,27,2.390305,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,28,2.390306,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,29,2.390307,435,0.531136,-1.968864,180,0.219780,-2.280220,03 66 01 68
95000,1,1,30,2.390309,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,31,2.390310,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,32,2.390311,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,33,2.390312,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,34,2.390314,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,35,2.390315,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,36,2.390318,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,37,2.390320,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,38,2.390321,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,39,2.390322,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,40,2.390323,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,41,2.390324,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,42,2.390327,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,43,2.390329,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,44,2.390330,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,45,2.390333,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,46,2.390334,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,47,2.390335,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,48,2.390338,435,0.531136,-1.968864,180,0.219780,-2.280220,03 66 01 68
95000,1,1,49,2.390340,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,50,2.390341,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,51,2.390342,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,52,2.390343,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,53,2.390344,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,54,2.390346,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,55,2.390347,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,56,2.390348,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,57,2.390350,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,58,2.390351,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,59,2.390352,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,60,2.390353,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,61,2.390357,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,62,2.390359,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,63,2.390360,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,64,2.390361,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,65,2.390362,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,66,2.390365,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,67,2.390366,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,68,2.390367,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,69,2.390368,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,70,2.390370,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,71,2.390371,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,72,2.390372,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,73,2.390373,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,74,2.390374,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,75,2.390377,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,76,2.390378,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,77,2.390381,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,78,2.390383,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,79,2.390385,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,80,2.390386,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,81,2.390387,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
