frequency_hz,piezo_volt_set,initial_ad5245_value,initial_ad5245_readback,initial_rms_a_v,ad5245_value,ad5245_readback,ad5245_iterations,raw_samples,filtered_samples,samples,mean_a_v,rms_a_v,ac_rms_a_v,min_a_v,max_a_v,mean_b_v,rms_b_v,ac_rms_b_v,min_b_v,max_b_v,status,error
95000,1.500000,1,1,1.406804,101,101,29,128,0,128,1.501173,1.501173,0.998827,1.499389,1.501832,3.190219,3.190219,0.690219,3.189255,3.191697,ok,
96000,1.500000,1,1,1.391713,113,113,32,128,0,128,1.500897,1.500897,0.999104,1.499389,1.501832,3.195713,3.195713,0.695713,3.194139,3.196581,ok,
97000,1.500000,1,1,1.362151,126,126,27,128,0,128,1.501555,1.501555,0.998445,1.500611,1.503053,3.203354,3.203354,0.703354,3.201465,3.205128,ok,
98000,1.500000,1,1,1.324252,145,145,19,128,0,128,1.501555,1.501555,0.998445,1.500611,1.503053,3.214820,3.214820,0.714821,3.212454,3.217338,ok,
99000,1.500000,1,1,1.284627,157,157,22,128,0,128,1.501975,1.501975,0.998026,1.500611,1.503053,3.240118,3.240118,0.740118,3.239316,3.241758,ok,
100000,1.500000,1,1,1.267886,161,161,17,128,0,128,1.502585,1.502585,0.997415,1.501832,1.503053,3.243542,3.243542,0.743542,3.241758,3.244200,ok,
101000,1.500000,1,1,1.264624,162,162,18,128,0,128,1.500820,1.500820,0.999180,1.499389,1.501832,3.237876,3.237876,0.737876,3.236874,3.239316,ok,
102000,1.500000,1,1,1.262191,163,163,19,128,0,128,1.500572,1.500572,0.999428,1.499389,1.501832,3.234098,3.234098,0.734099,3.233211,3.235653,ok,
103000,1.500000,1,1,1.254236,167,167,23,128,0,128,1.501936,1.501936,0.998064,1.500611,1.503053,3.226219,3.226219,0.726219,3.224664,3.227106,ok,
104000,1.500000,1,1,1.239383,172,172,19,128,0,128,1.501994,1.501994,0.998006,1.500611,1.503053,3.205920,3.205920,0.705920,3.205128,3.207570,ok,
105000,1.500000,1,1,1.231962,176,176,23,128,0,128,1.502986,1.502986,0.997014,1.501832,1.504274,3.176339,3.176339,0.676340,3.175824,3.177045,ok,
106000,1.500000,1,1,1.231571,178,178,25,128,0,128,1.504436,1.504436,0.995564,1.503053,1.505495,3.138030,3.138030,0.638031,3.136752,3.139194,ok,
107000,1.500000,1,1,1.220229,184,184,22,128,0,128,1.503320,1.503320,0.996681,1.503053,1.504274,3.116663,3.116663,0.616663,3.115995,3.118437,ok,
108000,1.500000,1,1,1.191039,186,186,24,128,0,128,1.500544,1.500544,0.999456,1.499389,1.500611,3.098291,3.098291,0.598291,3.097680,3.098901,ok,
109000,1.500000,1,1,1.197507,182,182,20,128,0,128,1.501889,1.501889,0.998111,1.500611,1.503053,3.084612,3.084612,0.584612,3.083028,3.085470,ok,
110000,1.500000,1,1,1.221316,177,177,24,128,0,128,1.502576,1.502576,0.997425,1.501832,1.503053,3.080996,3.080996,0.580997,3.079365,3.081807,ok,
111000,1.500000,1,1,1.231743,174,174,21,128,0,128,1.500296,1.500296,0.999704,1.499389,1.500611,3.083133,3.083133,0.583133,3.081807,3.084249,ok,
112000,1.500000,1,1,1.225304,174,174,21,128,0,128,1.503091,1.503091,0.996909,1.501832,1.504274,3.088551,3.088551,0.588552,3.087912,3.089133,ok,
113000,1.500000,1,1,1.228280,175,175,22,128,0,128,1.500582,1.500582,0.999418,1.499389,1.501832,3.090373,3.090373,0.590374,3.089133,3.091575,ok,
114000,1.500000,1,1,1.232782,175,175,22,128,0,128,1.501479,1.501479,0.998522,1.500611,1.501832,3.083381,3.083381,0.583381,3.081807,3.084249,ok,
115000,1.500000,1,1,1.232658,176,176,23,128,0,128,1.501946,1.501946,0.998054,1.501832,1.503053,3.081216,3.081216,0.581216,3.080586,3.081807,ok,
116000,1.500000,1,1,1.227202,177,177,24,128,0,128,1.500000,1.500000,1.000000,1.499389,1.500611,3.080414,3.080414,0.580415,3.079365,3.081807,ok,
117000,1.500000,1,1,1.213647,182,182,20,128,0,128,1.500563,1.500563,0.999437,1.499389,1.501832,3.082437,3.082437,0.582437,3.081807,3.083028,ok,
118000,1.500000,1,1,1.194864,190,190,20,128,0,128,1.515348,1.515348,0.984652,1.515263,1.516484,3.090984,3.090984,0.590984,3.090354,3.091575,ok,
119000,1.500000,1,1,1.170330,190,190,20,128,0,128,1.483431,1.483431,1.016569,1.482295,1.483516,3.081902,3.081903,0.581903,3.080586,3.083028,below_target_at_limit,
120000,1.500000,1,1,1.143363,190,190,20,128,0,128,1.449080,1.449081,1.050920,1.448107,1.449328,3.070064,3.070065,0.570065,3.069597,3.070818,below_target_at_limit,
