frequency_hz,samples,mean_a_v,rms_a_v,ac_rms_a_v,min_a_v,max_a_v,mean_b_v,rms_b_v,ac_rms_b_v,min_b_v,max_b_v,status,error
95000,128,1.679840,1.679840,0.820160,1.678877,1.681319,3.207675,3.207675,0.707675,3.206349,3.208791,ok,
96000,128,1.651194,1.651194,0.848806,1.649573,1.652015,3.206120,3.206120,0.706121,3.205128,3.207570,ok,
97000,128,1.597842,1.597842,0.902158,1.597070,1.599512,3.200082,3.200082,0.700082,3.199023,3.201465,ok,
98000,128,1.570169,1.570170,0.929831,1.568987,1.571429,3.206206,3.206206,0.706206,3.205128,3.207570,ok,
99000,128,1.573632,1.573632,0.926368,1.572650,1.575092,3.224893,3.224893,0.724894,3.222222,3.227106,ok,
100000,128,1.562519,1.562519,0.937481,1.561661,1.564103,3.261161,3.261161,0.761161,3.260073,3.262515,ok,
101000,128,1.506305,1.506306,0.993695,1.505495,1.507937,3.232515,3.232515,0.732515,3.230769,3.234432,ok,
102000,128,1.446171,1.446171,1.053829,1.444444,1.448107,3.185707,3.185707,0.685707,3.184371,3.186813,ok,
103000,128,1.398008,1.398008,1.101992,1.396825,1.399267,3.136170,3.136170,0.636171,3.135531,3.137973,ok,
104000,128,1.358650,1.358650,1.141350,1.357753,1.360195,3.088723,3.088723,0.588723,3.087912,3.090354,ok,
105000,128,1.334421,1.334421,1.165580,1.333333,1.335775,3.039482,3.039482,0.539483,3.037851,3.040293,ok,
106000,128,1.309667,1.309667,1.190333,1.308913,1.311355,2.998445,2.998445,0.498445,2.997558,3.000000,ok,
107000,128,1.292907,1.292907,1.207094,1.291819,1.294261,2.963713,2.963713,0.463714,2.962149,2.964591,ok,
108000,128,1.298792,1.298793,1.201208,1.297924,1.300366,2.935192,2.935192,0.435192,2.934066,2.936508,ok,
109000,128,1.325607,1.325607,1.174394,1.324786,1.327228,2.914911,2.914912,0.414912,2.914530,2.915751,ok,
110000,128,1.364097,1.364097,1.135903,1.362637,1.365079,2.912193,2.912193,0.412193,2.910867,2.913309,ok,
111000,128,1.382975,1.382975,1.117026,1.382173,1.384615,2.920988,2.920988,0.420988,2.919414,2.921856,ok,
112000,128,1.393563,1.393563,1.106437,1.391941,1.395604,2.923716,2.923716,0.423717,2.923077,2.925519,ok,
113000,128,1.387582,1.387582,1.112418,1.385836,1.389499,2.922257,2.922257,0.422257,2.920635,2.923077,ok,
114000,128,1.385235,1.385236,1.114765,1.384615,1.387057,2.910972,2.910972,0.410972,2.909646,2.912088,ok,
115000,128,1.385598,1.385598,1.114402,1.384615,1.387057,2.902892,2.902892,0.402893,2.902320,2.903541,ok,
116000,128,1.378720,1.378720,1.121280,1.377289,1.379731,2.899372,2.899372,0.399373,2.898657,2.899878,ok,
117000,128,1.359413,1.359413,1.140587,1.358974,1.360195,2.896959,2.896959,0.396959,2.896215,2.897436,ok,
118000,128,1.333782,1.333782,1.166218,1.332112,1.334554,2.893544,2.893544,0.393544,2.892552,2.893773,ok,
119000,128,1.304697,1.304697,1.195303,1.302808,1.306471,2.887945,2.887945,0.387945,2.886447,2.888889,ok,
120000,128,1.273895,1.273896,1.226105,1.272283,1.275946,2.882221,2.882221,0.382222,2.881563,2.882784,ok,
