frequency_hz,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
95000,1,1.058351,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,2,1.058377,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,3,1.058382,1375,1.678877,-0.821123,2627,3.207570,0.707570,0A BE 14 86
95000,4,1.058386,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,5,1.058388,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,6,1.058401,1375,1.678877,-0.821123,2627,3.207570,0.707570,0A BE 14 86
95000,7,1.058404,1376,1.680098,-0.819902,2626,3.206349,0.706349,0A C0 14 84
95000,8,1.058406,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,9,1.058409,1375,1.678877,-0.821123,2628,3.208791,0.708791,0A BE 14 88
95000,10,1.058411,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,11,1.058414,1376,1.680098,-0.819902,2626,3.206349,0.706349,0A C0 14 84
95000,12,1.058417,1375,1.678877,-0.821123,2627,3.207570,0.707570,0A BE 14 86
95000,13,1.058419,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,14,1.058421,1377,1.681319,-0.818681,2626,3.206349,0.706349,0A C2 14 84
95000,15,1.058424,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,16,1.058426,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,17,1.058429,1377,1.681319,-0.818681,2627,3.207570,0.707570,0A C2 14 86
95000,18,1.058434,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,19,1.058436,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,20,1.058439,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,21,1.058441,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,22,1.058444,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,23,1.058446,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,24,1.058449,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,25,1.058453,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,26,1.058456,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,27,1.058458,1375,1.678877,-0.821123,2628,3.208791,0.708791,0A BE 14 88
95000,28,1.058461,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,29,1.058463,1376,1.680098,-0.819902,2626,3.206349,0.706349,0A C0 14 84
95000,30,1.058466,1375,1.678877,-0.821123,2628,3.208791,0.708791,0A BE 14 88
95000,31,1.058468,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,32,1.058470,1377,1.681319,-0.818681,2626,3.206349,0.706349,0A C2 14 84
95000,33,1.058473,1375,1.678877,-0.821123,2627,3.207570,0.707570,0A BE 14 86
95000,34,1.058476,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,35,1.058478,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,36,1.058481,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,37,1.058485,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,38,1.058487,1377,1.681319,-0.818681,2627,3.207570,0.707570,0A C2 14 86
95000,39,1.058490,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,40,1.058492,1375,1.678877,-0.821123,2627,3.207570,0.707570,0A BE 14 86
95000,41,1.058495,1376,1.680098,-0.819902,2628,3.208791,0.708791,0A C0 14 88
95000,42,1.058499,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,43,1.058501,1375,1.678877,-0.821123,2627,3.207570,0.707570,0A BE 14 86
95000,44,1.058504,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,45,1.058506,1375,1.678877,-0.821123,2628,3.208791,0.708791,0A BE 14 88
95000,46,1.058509,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,47,1.058511,1376,1.680098,-0.819902,2627,3.207570,0.707570,0A C0 14 86
95000,48,1.058514,1376,1.680098,-0.819902,2626,3.206349,0.706349,0A C0 14 84
